Fréquence (Hz);Niveau (dB)
0.336456;-69.390762
0.672913;-72.854683
1.009369;-73.681412
1.345825;-71.865814
1.682281;-70.597672
2.018738;-71.873528
2.355194;-69.402237
2.691650;-68.556984
3.028107;-70.289444
3.364563;-72.134773
3.701019;-71.061951
4.037476;-77.877075
4.373932;-69.438911
4.710388;-70.269897
5.046844;-72.872108
5.383301;-70.937141
5.719757;-70.245865
6.056213;-69.916466
6.392670;-68.984749
6.729126;-68.542274
7.065582;-70.009880
7.402039;-71.519493
7.738495;-73.612297
8.074951;-74.235931
8.411407;-71.118835
8.747864;-71.926720
9.084320;-70.698105
9.420776;-69.271065
9.757233;-70.012520
10.093689;-69.829948
10.430145;-69.217712
10.766602;-71.525482
11.103058;-70.271942
11.439514;-68.477348
11.775970;-68.034348
12.112427;-67.200539
12.448883;-70.467621
12.785339;-73.213326
13.121796;-69.974068
13.458252;-74.825310
13.794708;-69.599525
14.131165;-71.164719
14.467621;-71.520905
14.804077;-71.167252
15.140533;-68.784241
15.476990;-70.152397
15.813446;-72.693436
16.149902;-71.630257
16.486359;-71.394600
16.822815;-74.218269
17.159271;-74.139786
17.495728;-75.109421
17.832184;-76.903854
18.168640;-72.974457
18.505096;-70.979210
18.841553;-71.236641
19.178009;-72.965630
19.514465;-71.045296
19.850922;-69.811935
20.187378;-70.201103
20.523834;-70.129463
20.860291;-69.201569
21.196747;-69.494209
21.533203;-69.168976
21.869659;-70.941032
22.206116;-75.040771
22.542572;-70.909264
22.879028;-68.714325
23.215485;-70.504349
23.551941;-73.545563
23.888397;-72.532623
24.224854;-71.495872
24.561310;-70.840820
24.897766;-70.164993
25.234222;-68.515396
25.570679;-65.738098
25.907135;-65.822395
26.243591;-71.891235
26.580048;-67.590202
26.916504;-65.053246
27.252960;-66.459938
27.589417;-68.245178
27.925873;-69.962143
28.262329;-71.383270
28.598785;-68.875298
28.935242;-66.760612
29.271698;-65.029526
29.608154;-67.240623
29.944611;-68.903374
30.281067;-66.345741
30.617523;-67.991844
30.953979;-67.040672
31.290436;-68.481468
31.626892;-64.994690
31.963348;-63.090118
32.299805;-62.863892
32.636261;-63.970684
32.972717;-66.888115
33.309174;-67.971680
33.645630;-65.552162
33.982086;-66.477600
34.318542;-63.045033
34.654999;-66.230774
34.991455;-63.454411
35.327911;-60.010498
35.664368;-63.570271
36.000824;-65.654495
36.337280;-63.010796
36.673737;-63.805462
37.010193;-66.152962
37.346649;-68.194366
37.683105;-66.753075
38.019562;-63.474827
38.356018;-59.325722
38.692474;-58.302769
