Fréquence (Hz);Niveau (dB)
0.336456;-51.271393
0.672913;-52.536613
1.009369;-50.811520
1.345825;-51.636871
1.682281;-52.790497
2.018738;-52.191387
2.355194;-53.213333
2.691650;-52.645233
3.028107;-50.350060
3.364563;-50.583851
3.701019;-53.048008
4.037476;-54.896778
4.373932;-53.998856
4.710388;-51.993561
5.046844;-51.863548
5.383301;-52.146645
5.719757;-53.577259
6.056213;-54.957748
6.392670;-54.575981
6.729126;-53.176987
7.065582;-54.016769
7.402039;-60.819016
7.738495;-53.996204
8.074951;-54.539688
8.411407;-55.080570
8.747864;-52.424839
9.084320;-51.547943
9.420776;-54.439224
9.757233;-55.396091
10.093689;-56.858578
10.430145;-56.096481
10.766602;-58.970039
11.103058;-55.912865
11.439514;-53.739826
11.775970;-55.966156
12.112427;-55.832153
12.448883;-52.971813
12.785339;-52.008236
13.121796;-54.152164
13.458252;-54.187149
13.794708;-54.633820
14.131165;-53.174492
14.467621;-53.759575
14.804077;-54.553928
15.140533;-53.140499
15.476990;-53.449699
15.813446;-53.137440
16.149902;-52.009995
16.486359;-52.857342
16.822815;-54.947842
17.159271;-55.066952
17.495728;-53.582981
17.832184;-54.276108
18.168640;-54.252491
18.505096;-51.937202
18.841553;-54.619431
19.178009;-56.534889
19.514465;-59.085526
19.850922;-54.578335
20.187378;-54.353039
20.523834;-55.164101
20.860291;-51.453297
21.196747;-50.963417
21.533203;-51.642189
21.869659;-52.611534
22.206116;-53.263416
22.542572;-53.485641
22.879028;-51.775089
23.215485;-51.185635
23.551941;-54.545784
23.888397;-53.331078
24.224854;-52.380898
24.561310;-51.561382
24.897766;-50.899342
25.234222;-53.172119
25.570679;-54.427753
25.907135;-54.626804
26.243591;-52.666740
26.580048;-54.237221
26.916504;-53.988091
27.252960;-50.698929
27.589417;-51.243523
27.925873;-52.846100
28.262329;-54.484566
28.598785;-56.340199
28.935242;-54.470348
29.271698;-52.549530
29.608154;-50.315823
29.944611;-52.870293
30.281067;-51.535652
30.617523;-51.036942
30.953979;-55.167458
31.290436;-54.500542
31.626892;-52.150879
31.963348;-51.970222
32.299805;-52.242916
32.636261;-54.399281
32.972717;-52.384686
33.309174;-51.522396
33.645630;-53.363426
33.982086;-51.306900
34.318542;-51.157288
34.654999;-51.890224
34.991455;-52.621609
35.327911;-52.057056
35.664368;-49.796036
36.000824;-50.556114
36.337280;-52.385635
36.673737;-51.327541
37.010193;-50.826134
37.346649;-53.219696
37.683105;-54.267586
38.019562;-53.147293
38.356018;-54.525345
38.692474;-54.111481
39.028931;-50.911083
39.365387;-50.717461
39.701843;-51.979885
40.038300;-54.837307
40.374756;-53.583042
40.711212;-53.257145
41.047668;-53.698013
41.384125;-52.937759
41.720581;-54.259449
42.057037;-53.376804
42.393494;-52.589172
42.729950;-50.490742
43.066406;-52.546425
43.402863;-51.340775
43.739319;-49.470882
44.075775;-50.218933
44.412231;-52.851559
44.748688;-51.846466
45.085144;-50.094906
45.421600;-51.756283
45.758057;-53.436325
46.094513;-53.174339
46.430969;-53.087086
46.767426;-49.716473
47.103882;-51.293041
47.440338;-54.035786
47.776794;-52.667244
48.113251;-51.574783
48.449707;-52.660591
48.786163;-51.913467
49.122620;-51.777317
49.459076;-52.418026
49.795532;-50.831490
50.131989;-50.349972
50.468445;-50.966381
50.804901;-49.274078
51.141357;-44.591625
51.477814;-46.795620
51.814270;-51.841499
52.150726;-53.841938
52.487183;-49.721008
52.823639;-47.995281
53.160095;-49.293709
53.496552;-49.594807
53.833008;-52.118801
54.169464;-51.979401
54.505920;-50.934139
54.842377;-51.505798
55.178833;-46.493065
55.515289;-43.623291
55.851746;-51.983101
56.188202;-51.426022
56.524658;-53.270256
56.861115;-49.280025
57.197571;-50.351700
57.534027;-51.358555
57.870483;-49.026768
58.206940;-48.589237
58.543396;-49.934624
58.879852;-49.418217
59.216309;-48.657833
59.552765;-42.320240
59.889221;-41.346943
60.225677;-44.113323
60.562134;-48.463253
60.898590;-47.892460
61.235046;-48.177540
61.571503;-48.329723
61.907959;-48.503807
62.244415;-49.774265
62.580872;-50.289310
62.917328;-47.079479
63.253784;-44.641766
63.590240;-43.944366
63.926697;-39.081234
64.263153;-41.573566
64.599609;-45.579155
64.936066;-48.143055
65.272522;-45.992462
65.608978;-43.600681
65.945435;-44.331074
66.281891;-41.974266
66.618347;-40.573875
66.954803;-43.823429
67.291260;-45.907814
67.627716;-43.295940
67.964172;-38.387112
68.300629;-34.625969
68.637085;-39.298359
68.973541;-44.053322
69.309998;-42.574989
69.646454;-43.112991
69.982910;-42.644592
70.319366;-41.214687
70.655823;-42.444752
70.992279;-39.754154
71.328735;-42.716476
71.665192;-40.340374
72.001648;-35.484444
72.338104;-34.757706
72.674561;-34.915035
73.011017;-36.413288
73.347473;-41.087536
73.683929;-43.338871
74.020386;-39.291592
74.356842;-39.097271
74.693298;-38.048634
75.029755;-35.580009
75.366211;-37.352570
75.702667;-36.124989
76.039124;-34.883476
76.375580;-31.985727
76.712036;-27.488411
77.048492;-29.272497
77.384949;-35.491993
77.721405;-40.832069
78.057861;-39.036537
78.394318;-37.484726
78.730774;-36.623310
79.067230;-36.692928
79.403687;-33.936028
79.740143;-34.761059
80.076599;-34.184071
80.413055;-27.841532
80.749512;-25.523203
81.085968;-24.374706
81.422424;-26.111948
81.758881;-29.084412
82.095337;-34.342224
82.431793;-31.775707
82.768250;-32.768913
83.104706;-32.130043
83.441162;-30.299557
83.777618;-28.774403
84.114075;-25.407621
84.450531;-22.431526
84.786987;-16.697731
85.123444;-14.257266
85.459900;-13.061681
85.796356;-13.393177
86.132812;-16.946135
86.469269;-15.192195
86.805725;-17.833403
87.142181;-16.223301
87.478638;-15.470546
87.815094;-16.654819
88.151550;-17.338469
88.488007;-15.806982
88.824463;-15.475150
89.160919;-12.985335
89.497375;-14.350642
89.833832;-16.334862
90.170288;-19.587011
90.506744;-25.797277
90.843201;-26.300339
91.179657;-27.929531
91.516113;-30.179304
91.852570;-33.211586
92.189026;-32.246273
92.525482;-29.796774
92.861938;-30.648432
93.198395;-27.115705
93.534851;-24.748991
93.871307;-25.326313
94.207764;-25.953039
94.544220;-29.104670
94.880676;-36.174324
95.217133;-35.072601
95.553589;-32.825024
95.890045;-34.197617
96.226501;-31.890575
96.562958;-32.662254
96.899414;-31.455692
97.235870;-29.382292
97.572327;-29.412657
97.908783;-28.974915
98.245239;-27.012554
98.581696;-26.803289
98.918152;-33.092995
99.254608;-38.090542
99.591064;-32.529861
99.927521;-28.156651
100.263977;-29.192438
100.600433;-28.862402
100.936890;-26.368944
101.273346;-25.070330
101.609802;-24.022594
101.946259;-19.696836
102.282715;-16.497238
102.619171;-16.857319
102.955627;-17.559904
103.292084;-20.463934
103.628540;-21.559059
103.964996;-18.021410
104.301453;-15.896465
104.637909;-16.275568
104.974365;-18.724363
105.310822;-22.425255
105.647278;-25.231453
105.983734;-23.057402
106.320190;-23.077559
106.656647;-24.192495
106.993103;-25.054094
107.329559;-28.028667
107.666016;-29.650394
108.002472;-30.557926
108.338928;-30.706615
108.675385;-31.300690
109.011841;-32.636307
109.348297;-34.411961
109.684753;-38.995922
110.021210;-32.507820
110.357666;-30.577717
110.694122;-30.844774
111.030579;-32.535545
111.367035;-32.064461
111.703491;-31.486082
112.039948;-34.133690
112.376404;-38.641521
112.712860;-36.895714
113.049316;-37.190582
113.385773;-38.473431
113.722229;-38.885185
114.058685;-39.683498
114.395142;-35.983921
114.731598;-34.648731
115.068054;-40.390747
115.404510;-40.243214
115.740967;-36.468582
116.077423;-34.139008
116.413879;-38.201832
116.750336;-41.254974
117.086792;-37.820316
117.423248;-38.129963
117.759705;-42.385704
118.096161;-43.081779
118.432617;-41.599152
118.769073;-41.480911
119.105530;-39.670589
119.441986;-39.849358
119.778442;-38.553493
120.114899;-37.830238
120.451355;-41.619289
120.787811;-39.704498
121.124268;-38.528214
121.460724;-42.593925
121.797180;-41.381233
122.133636;-42.248089
122.470093;-42.068512
122.806549;-38.979931
123.143005;-43.491383
123.479462;-40.954475
123.815918;-36.561176
124.152374;-35.491966
124.488831;-31.907738
124.825287;-31.482855
125.161743;-32.782459
125.498199;-36.981609
125.834656;-35.186264
126.171112;-34.532619
126.507568;-33.209820
126.844025;-32.608330
127.180481;-35.406532
127.516937;-32.898972
127.853394;-30.212934
128.189850;-25.937237
128.526306;-26.238333
128.862762;-25.023619
129.199219;-24.916101
129.535675;-27.236313
129.872131;-28.626797
130.208588;-23.465763
130.545044;-22.024916
130.881500;-21.030113
131.217957;-21.653830
131.554413;-24.600590
131.890869;-25.483595
132.227325;-28.389574
132.563782;-25.821793
132.900238;-24.363138
133.236694;-24.408377
133.573151;-25.351948
133.909607;-27.690512
134.246063;-30.990030
134.582520;-29.085838
134.918976;-30.363195
135.255432;-30.907564
135.591888;-29.118189
135.928345;-29.885023
