Fréquence (Hz);Niveau (dB)
0.366211;-69.035881
0.732422;-69.279305
1.098633;-70.272057
1.464844;-69.392303
1.831055;-69.410492
2.197266;-67.196106
2.563477;-67.688293
2.929688;-68.203491
3.295898;-67.836708
3.662109;-67.486832
4.028320;-66.345581
4.394531;-65.180939
4.760742;-66.100029
5.126953;-69.303513
5.493164;-68.101936
5.859375;-66.729790
6.225586;-67.236023
6.591797;-66.336708
6.958008;-65.957497
7.324219;-65.144737
7.690430;-67.487045
8.056641;-68.804047
8.422852;-64.302658
8.789062;-65.387680
9.155273;-66.964577
9.521484;-64.891716
9.887695;-65.680313
10.253906;-63.876244
10.620117;-59.936974
10.986328;-62.356506
11.352539;-65.427612
11.718750;-65.782631
12.084961;-67.456421
12.451172;-67.735039
12.817383;-63.362587
13.183594;-64.302444
13.549805;-64.328789
13.916016;-62.990707
14.282227;-64.087364
14.648438;-63.810074
15.014648;-61.270771
15.380859;-63.430141
15.747070;-63.929649
16.113281;-64.460953
16.479492;-63.060169
16.845703;-58.723087
17.211914;-57.353710
17.578125;-57.457283
17.944336;-58.019459
18.310547;-58.972450
18.676758;-55.486275
19.042969;-53.161671
19.409180;-56.069836
19.775391;-56.676464
20.141602;-51.522125
20.507812;-47.839874
20.874023;-49.290821
21.240234;-48.346703
21.606445;-49.243149
21.972656;-51.520924
22.338867;-48.178879
22.705078;-48.872364
23.071289;-47.923855
23.437500;-45.298965
23.803711;-46.579109
24.169922;-47.800198
24.536133;-50.905209
24.902344;-53.793457
25.268555;-48.679157
25.634766;-48.647049
26.000977;-51.635849
26.367188;-52.701221
26.733398;-51.115040
27.099609;-50.936672
27.465820;-47.449371
27.832031;-48.107315
28.198242;-50.010456
28.564453;-51.990978
28.930664;-51.438301
29.296875;-51.034615
29.663086;-46.975479
30.029297;-48.309574
30.395508;-51.055729
30.761719;-52.537094
31.127930;-49.857731
31.494141;-48.587509
31.860352;-46.457806
32.226562;-48.115326
32.592773;-48.624828
32.958984;-50.825241
33.325195;-50.061722
33.691406;-48.214352
34.057617;-47.132744
34.423828;-46.543262
34.790039;-47.629917
35.156250;-48.883465
35.522461;-48.490303
35.888672;-44.742107
36.254883;-42.106647
36.621094;-45.635433
36.987305;-48.398998
37.353516;-49.682491
37.719727;-47.505775
38.085938;-42.216663
38.452148;-41.415165
38.818359;-42.769321
39.184570;-45.401379
39.550781;-48.014637
39.916992;-49.822239
40.283203;-45.747746
40.649414;-45.181324
41.015625;-50.352333
41.381836;-47.947296
41.748047;-47.355774
42.114258;-44.233624
42.480469;-42.145821
42.846680;-45.119469
43.212891;-47.659515
43.579102;-48.469307
43.945312;-49.747093
44.311523;-48.745155
44.677734;-45.710045
45.043945;-48.078915
45.410156;-49.409138
45.776367;-46.661781
46.142578;-44.559151
46.508789;-42.649826
46.875000;-41.644600
47.241211;-42.828274
47.607422;-44.033978
47.973633;-40.247753
48.339844;-43.456104
48.706055;-43.014614
49.072266;-39.258373
49.438477;-42.151150
49.804688;-39.933071
50.170898;-36.501095
50.537109;-42.269249
50.903320;-38.343639
51.269531;-35.612377
51.635742;-42.948830
52.001953;-39.341064
52.368164;-36.792477
52.734375;-42.682709
53.100586;-37.544888
53.466797;-36.749203
53.833008;-45.522705
54.199219;-35.806000
54.565430;-35.312691
54.931641;-40.451916
55.297852;-32.816772
55.664062;-33.617550
56.030273;-43.137337
56.396484;-34.291035
56.762695;-35.804966
57.128906;-41.665691
57.495117;-33.384304
57.861328;-35.843445
58.227539;-41.212643
58.593750;-33.501774
58.959961;-36.648434
59.326172;-41.397640
59.692383;-36.053356
60.058594;-40.450729
60.424805;-38.976959
60.791016;-33.143059
61.157227;-38.613674
61.523438;-38.454231
61.889648;-35.355171
62.255859;-41.876595
62.622070;-37.993137
62.988281;-34.398621
63.354492;-41.082218
63.720703;-38.816849
64.086914;-37.240379
64.453125;-42.215565
64.819336;-36.212879
65.185547;-34.540028
65.551758;-42.724075
65.917969;-38.615849
66.284180;-37.594688
66.650391;-45.098728
67.016602;-36.817570
67.382812;-36.461819
67.749023;-42.876930
68.115234;-37.422985
68.481445;-38.841263
68.847656;-45.848557
69.213867;-36.563541
69.580078;-38.357704
69.946289;-43.166531
70.312500;-37.333496
70.678711;-40.579750
71.044922;-41.657578
71.411133;-34.660801
71.777344;-38.687366
72.143555;-43.355625
72.509766;-38.741253
72.875977;-44.133331
73.242188;-39.045815
73.608398;-33.799473
73.974609;-39.897480
74.340820;-45.364513
74.707031;-41.892517
75.073242;-47.945747
75.439453;-36.769344
75.805664;-33.562283
76.171875;-40.645325
76.538086;-42.998444
76.904297;-41.128593
77.270508;-43.333214
77.636719;-34.123646
78.002930;-33.024784
78.369141;-42.699299
78.735352;-42.889839
79.101562;-42.598557
79.467773;-41.641724
79.833984;-33.563255
80.200195;-34.265953
80.566406;-43.340588
80.932617;-40.815140
81.298828;-42.601707
81.665039;-42.053371
82.031250;-33.557468
82.397461;-36.097229
82.763672;-45.437599
83.129883;-40.337109
83.496094;-44.026062
83.862305;-39.953674
84.228516;-33.506519
84.594727;-38.075680
84.960938;-45.662380
85.327148;-42.221470
85.693359;-45.925922
86.059570;-39.140831
86.425781;-34.788174
86.791992;-40.880566
87.158203;-45.745441
87.524414;-45.698727
87.890625;-48.859577
88.256836;-38.598442
88.623047;-35.711243
88.989258;-42.386398
89.355469;-44.349129
89.721680;-46.648106
90.087891;-48.529068
90.454102;-36.574757
90.820312;-35.824268
91.186523;-45.938675
91.552734;-50.027161
91.918945;-49.766525
92.285156;-44.479645
92.651367;-34.010384
93.017578;-35.229137
93.383789;-45.989666
93.750000;-45.914616
94.116211;-46.517990
94.482422;-40.479900
94.848633;-32.302544
95.214844;-35.627029
95.581055;-47.670864
95.947266;-45.513493
96.313477;-45.044411
96.679688;-38.529007
97.045898;-32.449818
97.412109;-37.855255
97.778320;-44.135441
98.144531;-44.179344
