Fréquence (Hz);Niveau (dB)
0.366211;-55.561928
0.732422;-54.558369
1.098633;-55.254143
1.464844;-55.714836
1.831055;-54.603447
2.197266;-54.439072
2.563477;-56.262852
2.929688;-54.010651
3.295898;-52.713345
3.662109;-53.368252
4.028320;-53.579250
4.394531;-55.166885
4.760742;-54.252270
5.126953;-52.933746
5.493164;-53.104725
5.859375;-54.363071
6.225586;-52.075459
6.591797;-51.952301
6.958008;-53.648335
7.324219;-52.859135
7.690430;-52.820644
8.056641;-53.398712
8.422852;-52.586624
8.789062;-53.542049
9.155273;-52.431301
9.521484;-50.544765
9.887695;-51.696682
10.253906;-52.218708
10.620117;-50.899860
10.986328;-52.727951
11.352539;-53.573250
11.718750;-51.354290
12.084961;-53.192303
12.451172;-52.104019
12.817383;-49.244347
13.183594;-51.477673
13.549805;-52.358543
13.916016;-51.082809
14.282227;-52.601036
14.648438;-52.172604
15.014648;-50.134846
15.380859;-53.551846
15.747070;-53.284424
16.113281;-51.891224
16.479492;-53.564869
16.845703;-51.416279
17.211914;-50.524467
17.578125;-52.995071
17.944336;-53.070347
18.310547;-53.006207
18.676758;-52.465782
19.042969;-50.334885
19.409180;-50.746418
19.775391;-54.683289
20.141602;-52.291908
20.507812;-52.112423
20.874023;-52.023876
21.240234;-48.206596
21.606445;-49.197376
21.972656;-51.543785
22.338867;-53.264862
22.705078;-51.380169
23.071289;-50.284554
23.437500;-48.552292
23.803711;-50.360939
24.169922;-51.383453
24.536133;-50.413654
24.902344;-50.200733
25.268555;-48.917973
25.634766;-48.815773
26.000977;-50.976650
26.367188;-49.709690
26.733398;-49.811069
27.099609;-52.269180
27.465820;-47.760067
27.832031;-45.294792
28.198242;-45.466251
28.564453;-44.825378
28.930664;-44.441990
29.296875;-40.324100
29.663086;-37.064484
30.029297;-37.590183
30.395508;-40.513668
30.761719;-38.150917
31.127930;-36.134735
31.494141;-37.312416
31.860352;-38.151409
32.226562;-33.988976
32.592773;-31.911436
32.958984;-32.068523
33.325195;-32.264015
33.691406;-32.839157
34.057617;-33.366478
34.423828;-35.911221
34.790039;-38.462555
35.156250;-37.681770
35.522461;-37.128754
35.888672;-35.454090
36.254883;-31.764307
36.621094;-34.782646
36.987305;-38.110809
37.353516;-35.755806
37.719727;-33.637428
38.085938;-31.171394
38.452148;-27.244936
38.818359;-25.645113
39.184570;-26.436115
39.550781;-29.683699
39.916992;-32.614265
40.283203;-28.921455
40.649414;-26.917000
41.015625;-31.522680
