Fréquence (Hz);Niveau (dB)
0.336456;-48.150497
0.672913;-48.099289
1.009369;-47.464458
1.345825;-47.577843
1.682281;-47.475266
2.018738;-46.774338
2.355194;-46.827339
2.691650;-47.718857
3.028107;-47.825924
3.364563;-47.492718
3.701019;-47.092350
4.037476;-46.197865
4.373932;-44.907990
4.710388;-41.929199
5.046844;-40.223110
5.383301;-41.360561
5.719757;-42.340271
6.056213;-42.671982
6.392670;-43.157818
6.729126;-43.016575
7.065582;-42.212723
7.402039;-41.075436
7.738495;-41.257755
8.074951;-42.032421
8.411407;-41.520390
8.747864;-40.426422
9.084320;-39.357758
9.420776;-40.602329
9.757233;-42.252415
10.093689;-42.572979
10.430145;-42.603500
10.766602;-41.357307
11.103058;-39.822536
11.439514;-39.638073
11.775970;-39.513290
12.112427;-39.550850
12.448883;-38.224777
12.785339;-36.901226
13.121796;-35.530415
13.458252;-32.853951
13.794708;-31.429718
14.131165;-33.275608
14.467621;-34.045223
14.804077;-35.041031
15.140533;-34.785751
15.476990;-30.689205
15.813446;-26.315619
16.149902;-26.074461
16.486359;-29.059868
16.822815;-29.749723
17.159271;-31.792614
17.495728;-31.801811
17.832184;-27.986538
18.168640;-23.997349
18.505096;-24.639315
18.841553;-28.003534
19.178009;-28.819008
19.514465;-29.465599
19.850922;-30.566954
20.187378;-29.865421
20.523834;-27.097593
20.860291;-27.166513
21.196747;-28.844038
21.533203;-28.598898
21.869659;-27.630119
22.206116;-28.297119
22.542572;-29.650915
22.879028;-30.807447
23.215485;-31.977354
23.551941;-31.171366
23.888397;-29.205093
24.224854;-27.775810
24.561310;-27.298464
24.897766;-26.186754
25.234222;-26.717136
25.570679;-30.692581
25.907135;-30.736610
26.243591;-28.663685
26.580048;-27.613489
26.916504;-25.720730
27.252960;-24.388739
27.589417;-23.788622
27.925873;-23.625326
28.262329;-22.269241
28.598785;-23.356798
28.935242;-23.067373
29.271698;-21.783079
29.608154;-22.099888
29.944611;-24.658350
30.281067;-27.022846
30.617523;-28.298918
30.953979;-28.910385
31.290436;-27.962843
31.626892;-27.338551
31.963348;-27.450138
32.299805;-28.175369
32.636261;-29.088408
32.972717;-29.267525
33.309174;-27.163097
33.645630;-28.740158
33.982086;-29.296989
34.318542;-28.649553
34.654999;-27.529806
34.991455;-26.676661
35.327911;-27.789206
35.664368;-31.679398
36.000824;-31.200874
36.337280;-27.953245
36.673737;-26.622259
37.010193;-28.417118
37.346649;-32.879700
37.683105;-35.128738
38.019562;-34.539562
38.356018;-33.901646
38.692474;-30.860159
39.028931;-29.784838
39.365387;-31.269526
39.701843;-33.378292
40.038300;-33.953777
40.374756;-33.500347
40.711212;-33.938061
41.047668;-32.719166
41.384125;-31.775469
41.720581;-32.777905
42.057037;-33.640697
42.393494;-34.789486
42.729950;-35.804546
43.066406;-34.108009
43.402863;-33.158424
43.739319;-33.746834
44.075775;-34.849239
44.412231;-35.321461
44.748688;-36.084122
45.085144;-36.652279
45.421600;-35.742241
45.758057;-33.853970
46.094513;-33.392616
46.430969;-33.723827
46.767426;-34.888763
47.103882;-36.885792
47.440338;-37.542965
47.776794;-36.246632
48.113251;-32.841496
48.449707;-31.202299
48.786163;-29.391993
49.122620;-27.833406
49.459076;-28.884274
49.795532;-31.246403
50.131989;-30.243151
50.468445;-29.220047
50.804901;-29.783749
51.141357;-28.711859
51.477814;-26.064800
51.814270;-25.960403
52.150726;-25.445324
52.487183;-24.881710
52.823639;-26.334547
53.160095;-30.085247
53.496552;-30.154427
53.833008;-30.441416
54.169464;-28.458735
54.505920;-25.176899
54.842377;-24.586544
55.178833;-25.541401
55.515289;-27.787020
55.851746;-28.598837
56.188202;-25.933714
56.524658;-27.015265
56.861115;-30.130272
57.197571;-28.763052
57.534027;-26.679834
57.870483;-26.420881
58.206940;-26.129381
58.543396;-25.149569
58.879852;-26.322298
59.216309;-26.841187
59.552765;-26.172029
59.889221;-26.081730
60.225677;-29.130255
60.562134;-30.380201
60.898590;-29.426706
61.235046;-28.733395
61.571503;-29.646730
61.907959;-30.333092
62.244415;-30.143482
62.580872;-30.697529
62.917328;-29.669062
63.253784;-28.061876
63.590240;-29.653297
63.926697;-31.701973
64.263153;-32.244259
64.599609;-32.219738
64.936066;-32.516613
65.272522;-31.752419
65.608978;-31.243057
65.945435;-32.216923
66.281891;-33.006092
66.618347;-33.316792
66.954803;-33.546631
67.291260;-34.739727
67.627716;-33.718758
67.964172;-32.331558
68.300629;-31.028086
68.637085;-31.466867
68.973541;-33.334293
69.309998;-35.354374
69.646454;-34.061638
69.982910;-32.113949
70.319366;-27.197334
70.655823;-28.601696
70.992279;-27.208639
71.328735;-28.555761
71.665192;-30.173700
72.001648;-30.419485
72.338104;-30.287264
72.674561;-29.196020
73.011017;-27.879126
73.347473;-28.162672
73.683929;-28.588366
74.020386;-28.821918
74.356842;-29.485525
74.693298;-31.046795
75.029755;-32.035137
75.366211;-33.536232
75.702667;-33.621655
76.039124;-34.217819
76.375580;-33.228790
76.712036;-31.830805
77.048492;-31.167603
77.384949;-29.123962
77.721405;-29.843834
78.057861;-29.486782
78.394318;-29.719889
78.730774;-31.191566
79.067230;-31.464964
79.403687;-31.374063
79.740143;-29.268847
80.076599;-31.435040
80.413055;-33.915710
80.749512;-33.651360
81.085968;-33.583187
81.422424;-35.539368
81.758881;-34.807728
82.095337;-34.457222
82.431793;-34.107193
82.768250;-34.622505
83.104706;-35.584393
83.441162;-35.527767
83.777618;-34.365372
84.114075;-30.243343
84.450531;-25.749660
84.786987;-27.445326
85.123444;-27.899549
85.459900;-27.703545
85.796356;-27.119608
86.132812;-26.813618
86.469269;-28.146338
86.805725;-27.547136
87.142181;-29.964979
87.478638;-30.123655
87.815094;-28.236744
88.151550;-28.224806
88.488007;-30.392794
88.824463;-32.169933
89.160919;-29.940126
89.497375;-32.681133
89.833832;-34.431065
90.170288;-33.143818
90.506744;-32.175446
90.843201;-33.359470
91.179657;-27.277031
91.516113;-22.758997
91.852570;-26.681175
92.189026;-28.784430
92.525482;-28.987513
92.861938;-28.333691
93.198395;-29.027924
93.534851;-29.806177
93.871307;-28.754629
94.207764;-30.656622
94.544220;-30.859810
94.880676;-30.232843
95.217133;-30.502659
95.553589;-31.950819
95.890045;-32.357361
