Fréquence (Hz);Niveau (dB)
0.336456;-68.272675
0.672913;-70.224022
1.009369;-69.287086
1.345825;-69.439224
1.682281;-69.632935
2.018738;-68.221146
2.355194;-67.484718
2.691650;-68.386002
3.028107;-69.500145
3.364563;-69.572098
3.701019;-71.009918
4.037476;-71.573967
4.373932;-71.337967
4.710388;-69.626938
5.046844;-69.585854
5.383301;-70.378677
5.719757;-69.318619
6.056213;-68.852074
6.392670;-69.851143
6.729126;-68.973625
7.065582;-69.315132
7.402039;-70.543243
7.738495;-71.257324
8.074951;-71.766472
8.411407;-69.387642
8.747864;-69.739365
9.084320;-70.544640
9.420776;-69.152008
9.757233;-68.962090
10.093689;-68.544937
10.430145;-69.099602
10.766602;-69.075684
11.103058;-68.554047
11.439514;-68.774467
11.775970;-68.273743
12.112427;-68.110489
12.448883;-70.466858
12.785339;-69.646072
13.121796;-70.879311
13.458252;-71.488235
13.794708;-70.146210
14.131165;-69.395401
14.467621;-69.749504
14.804077;-69.950966
15.140533;-70.575111
15.476990;-70.272888
15.813446;-71.780296
16.149902;-69.706657
16.486359;-69.475258
16.822815;-69.835327
17.159271;-71.071907
17.495728;-70.835312
17.832184;-69.464691
18.168640;-68.777512
18.505096;-69.599579
18.841553;-69.336975
19.178009;-67.720024
19.514465;-69.250732
19.850922;-69.835396
20.187378;-69.295273
20.523834;-68.058105
20.860291;-69.059174
21.196747;-69.527298
21.533203;-69.577286
21.869659;-69.843254
22.206116;-70.345222
22.542572;-67.916229
22.879028;-68.099716
23.215485;-68.499001
23.551941;-67.809090
23.888397;-67.210930
24.224854;-65.801010
24.561310;-64.886116
24.897766;-67.615585
25.234222;-67.833092
25.570679;-63.942684
25.907135;-65.754646
26.243591;-67.828522
26.580048;-65.265785
26.916504;-65.060318
27.252960;-67.735077
27.589417;-69.541351
27.925873;-68.268768
28.262329;-67.150330
28.598785;-65.527939
28.935242;-64.408943
29.271698;-64.435623
29.608154;-65.219749
29.944611;-65.136375
30.281067;-64.784912
30.617523;-66.645523
30.953979;-65.978455
31.290436;-66.130417
31.626892;-61.808216
31.963348;-57.247505
