Fréquence (Hz);Niveau (dB)
0.336456;-48.877113
0.672913;-50.876991
1.009369;-52.744717
1.345825;-52.423653
1.682281;-52.303333
2.018738;-50.969898
2.355194;-51.257282
2.691650;-50.520027
3.028107;-51.265705
3.364563;-50.453007
3.701019;-50.260601
4.037476;-51.259750
4.373932;-52.348843
4.710388;-49.743507
5.046844;-52.143330
5.383301;-51.176582
5.719757;-52.788673
6.056213;-52.563988
6.392670;-51.796429
6.729126;-50.484737
7.065582;-51.225803
7.402039;-51.803131
7.738495;-51.532219
8.074951;-50.026905
8.411407;-50.614410
8.747864;-52.010086
9.084320;-50.555054
9.420776;-48.866173
9.757233;-50.884361
10.093689;-49.713879
10.430145;-49.664204
10.766602;-51.076752
11.103058;-48.919247
11.439514;-49.879353
11.775970;-49.606056
12.112427;-48.355331
12.448883;-48.829479
12.785339;-46.116829
13.121796;-50.186623
13.458252;-48.641941
13.794708;-46.645378
14.131165;-45.740849
14.467621;-48.411598
14.804077;-50.141827
15.140533;-50.736588
15.476990;-49.564156
15.813446;-41.620197
16.149902;-47.989281
16.486359;-47.371544
16.822815;-48.227509
17.159271;-49.298161
17.495728;-45.329945
17.832184;-48.873131
18.168640;-47.897758
18.505096;-44.214058
18.841553;-45.088856
19.178009;-47.021400
19.514465;-47.784611
19.850922;-44.207214
20.187378;-46.488468
20.523834;-44.447266
20.860291;-46.208488
21.196747;-45.476097
21.533203;-43.703457
21.869659;-46.548149
22.206116;-46.062141
22.542572;-43.147274
22.879028;-44.410904
23.215485;-42.616848
23.551941;-45.394073
23.888397;-44.495136
24.224854;-42.104298
24.561310;-42.529686
24.897766;-46.021843
25.234222;-43.587864
25.570679;-40.959766
25.907135;-42.788174
26.243591;-40.647366
26.580048;-45.599846
26.916504;-41.662716
27.252960;-40.402855
27.589417;-42.532314
27.925873;-38.497345
28.262329;-44.511513
28.598785;-44.222652
28.935242;-40.036015
29.271698;-41.001804
29.608154;-40.553047
29.944611;-41.292202
30.281067;-38.520908
30.617523;-41.603008
30.953979;-39.648914
31.290436;-39.604465
31.626892;-39.748363
31.963348;-40.848137
32.299805;-38.654972
32.636261;-35.142323
32.972717;-38.069042
33.309174;-36.166603
33.645630;-34.417007
33.982086;-27.078669
34.318542;-28.085333
34.654999;-24.469915
34.991455;-23.350613
35.327911;-28.414566
35.664368;-28.484089
36.000824;-21.433117
36.337280;-19.434671
36.673737;-16.321550
37.010193;-18.925703
37.346649;-19.391907
37.683105;-27.814871
38.019562;-30.169144
38.356018;-29.349802
38.692474;-32.116890
39.028931;-28.886911
39.365387;-30.909199
39.701843;-29.630783
40.038300;-28.447962
40.374756;-24.956821
40.711212;-19.282480
41.047668;-19.688248
41.384125;-18.246637
41.720581;-22.272148
42.057037;-25.712999
42.393494;-29.041246
42.729950;-29.895672
43.066406;-28.207653
43.402863;-30.750492
43.739319;-26.103745
44.075775;-31.506912
44.412231;-29.549252
44.748688;-27.038107
45.085144;-25.104935
45.421600;-25.310930
45.758057;-20.209333
46.094513;-18.074549
46.430969;-17.714851
46.767426;-15.700820
