Fréquence (Hz);Niveau (dB)
0.336456;-48.173531
0.672913;-54.739029
1.009369;-58.305218
1.345825;-59.119446
1.682281;-57.113834
2.018738;-59.525970
2.355194;-62.301472
2.691650;-57.596931
3.028107;-56.399994
3.364563;-59.371929
3.701019;-59.753815
4.037476;-58.063999
4.373932;-55.393341
4.710388;-51.015400
5.046844;-56.954899
5.383301;-58.245872
5.719757;-58.012886
6.056213;-59.307781
6.392670;-58.913074
6.729126;-60.682579
7.065582;-62.310390
7.402039;-57.415443
7.738495;-57.177570
8.074951;-60.045254
8.411407;-60.121773
8.747864;-57.922962
9.084320;-55.491844
9.420776;-52.635220
9.757233;-58.333340
10.093689;-58.126202
10.430145;-58.737347
10.766602;-59.491680
11.103058;-58.729416
11.439514;-61.615841
11.775970;-60.596657
12.112427;-57.919106
12.448883;-59.229015
12.785339;-59.788643
13.121796;-60.429745
13.458252;-60.021530
13.794708;-55.925976
14.131165;-54.143139
14.467621;-59.437893
14.804077;-60.177666
15.140533;-56.876732
15.476990;-59.211750
15.813446;-59.209961
16.149902;-61.750950
16.486359;-62.270565
16.822815;-58.340969
17.159271;-59.004093
17.495728;-57.862217
17.832184;-58.671768
18.168640;-58.954842
18.505096;-55.915691
18.841553;-56.003490
19.178009;-59.673298
19.514465;-59.438068
19.850922;-57.589386
20.187378;-58.692291
20.523834;-58.197372
20.860291;-61.181885
21.196747;-61.636929
21.533203;-60.301994
21.869659;-59.798573
22.206116;-59.654232
22.542572;-61.939262
22.879028;-59.285892
23.215485;-56.219986
23.551941;-57.033211
23.888397;-60.760231
24.224854;-59.509132
24.561310;-59.855656
24.897766;-59.674213
25.234222;-59.638046
25.570679;-60.235657
25.907135;-58.822868
26.243591;-56.393913
26.580048;-58.815220
26.916504;-59.251335
27.252960;-57.358452
27.589417;-57.377346
27.925873;-58.037487
28.262329;-57.575062
28.598785;-57.038963
28.935242;-56.606277
29.271698;-55.946960
29.608154;-54.898895
29.944611;-53.800751
30.281067;-54.848743
30.617523;-51.286873
30.953979;-50.030670
31.290436;-48.283180
31.626892;-45.334045
31.963348;-42.345028
32.299805;-33.054443
32.636261;-28.128979
32.972717;-29.830118
33.309174;-37.930485
33.645630;-41.338848
33.982086;-44.299149
34.318542;-44.908310
34.654999;-45.336834
34.991455;-46.028301
35.327911;-44.000824
35.664368;-43.508751
36.000824;-40.107483
36.337280;-31.214100
36.673737;-27.211098
37.010193;-29.704105
37.346649;-38.145042
37.683105;-41.255600
38.019562;-43.451294
38.356018;-44.895260
38.692474;-44.498688
39.028931;-45.113312
39.365387;-45.367100
39.701843;-42.816044
40.038300;-41.837185
40.374756;-39.086102
40.711212;-32.574444
41.047668;-26.211138
41.384125;-26.560591
41.720581;-33.467712
42.057037;-39.283123
42.393494;-42.479473
42.729950;-43.751423
43.066406;-46.179680
43.402863;-45.637657
43.739319;-46.577801
44.075775;-47.352879
44.412231;-46.403713
44.748688;-47.646034
45.085144;-47.258705
45.421600;-48.077625
45.758057;-47.128704
46.094513;-47.276413
46.430969;-46.637897
46.767426;-45.205021
47.103882;-44.911160
47.440338;-43.360302
47.776794;-41.504219
48.113251;-38.376198
48.449707;-33.034744
48.786163;-26.365244
49.122620;-25.796398
49.459076;-31.155205
49.795532;-38.095070
50.131989;-40.194111
50.468445;-42.917435
50.804901;-44.388042
51.141357;-37.820221
51.477814;-37.078373
51.814270;-40.563934
52.150726;-38.044048
52.487183;-31.738438
52.823639;-30.799204
53.160095;-27.459595
53.496552;-38.406517
53.833008;-35.454647
54.169464;-24.023869
54.505920;-26.300999
54.842377;-23.953173
55.178833;-26.057835
55.515289;-27.974783
55.851746;-22.810480
56.188202;-23.651222
56.524658;-30.261431
56.861115;-30.111172
57.197571;-26.092096
57.534027;-27.253847
57.870483;-25.814104
58.206940;-38.663223
58.543396;-35.826447
58.879852;-27.075289
59.216309;-30.769419
59.552765;-29.333778
59.889221;-34.446068
60.225677;-34.413486
60.562134;-27.172159
60.898590;-29.528692
61.235046;-33.583397
61.571503;-28.806650
61.907959;-28.070202
62.244415;-30.446983
62.580872;-30.939528
62.917328;-43.604588
63.253784;-36.581036
63.590240;-30.097000
63.926697;-33.727566
64.263153;-32.720329
64.599609;-34.971516
64.936066;-30.060068
65.272522;-24.552332
65.608978;-24.691700
65.945435;-30.842205
66.281891;-33.886639
66.618347;-33.656612
66.954803;-32.316578
67.291260;-34.007156
67.627716;-44.648151
67.964172;-36.778687
68.300629;-32.125137
68.637085;-36.306110
68.973541;-35.760422
69.309998;-39.994671
69.646454;-38.207691
69.982910;-31.872046
70.319366;-37.220470
70.655823;-38.915970
70.992279;-35.710575
71.328735;-35.562061
71.665192;-32.784870
72.001648;-35.375629
72.338104;-39.912792
72.674561;-34.734238
73.011017;-28.069366
73.347473;-23.859892
73.683929;-25.388025
74.020386;-33.739853
74.356842;-35.597820
74.693298;-32.365517
75.029755;-38.975353
75.366211;-40.126530
75.702667;-36.600853
76.039124;-37.178970
76.375580;-33.912209
76.712036;-39.281437
77.048492;-48.185032
77.384949;-36.534660
77.721405;-35.424358
78.057861;-37.420105
78.394318;-39.204426
78.730774;-41.279087
79.067230;-38.318439
79.403687;-34.730717
79.740143;-42.625622
80.076599;-42.216938
80.413055;-37.270947
80.749512;-39.041489
81.085968;-35.873405
81.422424;-37.828388
81.758881;-35.324459
82.095337;-27.049055
82.431793;-23.752085
82.768250;-26.347265
83.104706;-34.304569
83.441162;-38.108082
83.777618;-34.943443
84.114075;-33.310146
84.450531;-40.571972
84.786987;-41.478054
85.123444;-36.797173
85.459900;-38.789333
85.796356;-35.852146
86.132812;-44.135189
86.469269;-46.507549
86.805725;-36.796223
87.142181;-38.734066
87.478638;-38.620525
87.815094;-42.382462
88.151550;-42.922146
88.488007;-36.958340
88.824463;-36.516022
89.160919;-42.026089
89.497375;-42.488251
89.833832;-38.760330
90.170288;-39.323524
90.506744;-36.746178
90.843201;-44.780342
91.179657;-44.441715
91.516113;-36.615997
91.852570;-39.271999
92.189026;-38.909122
92.525482;-42.311298
92.861938;-42.893032
93.198395;-37.919449
93.534851;-39.020927
93.871307;-41.122307
94.207764;-40.670849
94.544220;-37.640381
94.880676;-38.212841
95.217133;-37.109982
95.553589;-43.795364
95.890045;-41.428265
96.226501;-35.817169
96.562958;-38.884285
96.899414;-39.618229
97.235870;-37.365498
97.572327;-30.617535
97.908783;-25.060865
98.245239;-26.282522
98.581696;-33.787838
98.918152;-38.275955
99.254608;-41.323612
99.591064;-38.268784
99.927521;-38.551376
100.263977;-44.223789
100.600433;-42.174183
100.936890;-37.435837
101.273346;-40.973980
101.609802;-40.043087
101.946259;-42.224205
102.282715;-42.962883
102.619171;-38.704330
102.955627;-42.437172
103.292084;-44.475849
103.628540;-43.220474
103.964996;-42.888935
104.301453;-38.492008
104.637909;-40.447933
104.974365;-43.924385
105.310822;-40.701218
105.647278;-37.604580
105.983734;-39.297661
106.320190;-38.815990
106.656647;-39.625511
106.993103;-39.168137
107.329559;-34.598629
107.666016;-39.867290
108.002472;-44.074062
108.338928;-39.984520
108.675385;-38.731823
109.011841;-36.006157
109.348297;-37.809887
109.684753;-31.673870
110.021210;-30.336092
110.357666;-33.623997
110.694122;-37.770180
111.030579;-39.494282
111.367035;-40.055908
111.703491;-40.049374
112.039948;-36.552181
112.376404;-42.709347
112.712860;-44.628326
113.049316;-40.185913
113.385773;-40.871998
113.722229;-37.262177
114.058685;-42.028870
114.395142;-45.777172
114.731598;-38.186619
115.068054;-37.643269
115.404510;-38.827259
115.740967;-40.419830
116.077423;-42.077091
116.413879;-41.049862
116.750336;-38.042778
117.086792;-43.827847
117.423248;-44.347496
117.759705;-40.841610
