Fréquence (Hz);Niveau (dB)
0.336456;-57.736267
0.672913;-55.100075
1.009369;-55.325970
1.345825;-55.719532
1.682281;-55.391068
2.018738;-55.140835
2.355194;-55.066933
2.691650;-55.321476
3.028107;-56.309208
3.364563;-59.402958
3.701019;-56.943466
4.037476;-55.378017
4.373932;-55.051014
4.710388;-55.324577
5.046844;-56.903481
5.383301;-55.497082
5.719757;-56.784431
6.056213;-56.285934
6.392670;-53.650627
6.729126;-53.749393
7.065582;-55.097996
7.402039;-57.163998
7.738495;-55.022476
8.074951;-51.514225
8.411407;-46.719948
8.747864;-52.057335
9.084320;-55.787220
9.420776;-56.715084
9.757233;-56.075211
10.093689;-53.784126
10.430145;-51.565037
10.766602;-54.930725
11.103058;-58.578819
11.439514;-56.742779
11.775970;-55.698082
12.112427;-57.892399
12.448883;-46.769264
12.785339;-46.724621
13.121796;-54.900742
13.458252;-56.779449
13.794708;-55.793591
14.131165;-55.155159
14.467621;-54.757099
14.804077;-53.533253
15.140533;-54.011238
15.476990;-56.422928
15.813446;-54.736542
16.149902;-54.910168
16.486359;-48.168068
16.822815;-44.139484
17.159271;-50.150112
17.495728;-55.499725
17.832184;-55.053581
18.168640;-54.283882
18.505096;-55.871559
18.841553;-54.733803
19.178009;-56.629017
19.514465;-56.846424
19.850922;-53.262623
20.187378;-54.205025
20.523834;-54.072075
20.860291;-44.836090
21.196747;-45.879200
21.533203;-53.164124
21.869659;-55.710049
22.206116;-58.117481
22.542572;-59.585876
22.879028;-54.246586
23.215485;-52.823048
23.551941;-55.890244
23.888397;-55.391281
24.224854;-53.419964
24.561310;-55.331226
24.897766;-44.490547
25.234222;-39.760738
25.570679;-45.888901
25.907135;-51.696735
26.243591;-51.563816
26.580048;-52.078243
26.916504;-49.586563
27.252960;-47.742992
27.589417;-48.247494
27.925873;-50.930725
28.262329;-50.764080
28.598785;-51.459316
28.935242;-47.211349
29.271698;-38.380142
29.608154;-39.420441
29.944611;-47.066395
30.281067;-47.963398
30.617523;-46.963665
30.953979;-46.476715
31.290436;-44.445889
31.626892;-44.063438
31.963348;-47.350677
32.299805;-48.747166
32.636261;-46.302883
32.972717;-45.971054
33.309174;-41.537056
33.645630;-37.829353
33.982086;-44.060825
34.318542;-47.295601
34.654999;-45.624645
34.991455;-44.777874
35.327911;-42.991707
35.664368;-39.618412
36.000824;-43.098080
36.337280;-45.407627
36.673737;-44.305721
37.010193;-44.118427
37.346649;-41.551964
37.683105;-32.464489
38.019562;-33.720631
38.356018;-43.838608
38.692474;-45.304081
39.028931;-43.931332
39.365387;-43.765453
39.701843;-36.474861
40.038300;-36.736591
40.374756;-43.474571
40.711212;-44.501099
41.047668;-46.817932
41.384125;-44.626942
41.720581;-31.378298
42.057037;-28.033451
42.393494;-34.909901
42.729950;-47.389919
43.066406;-47.582916
43.402863;-46.085125
43.739319;-32.170361
44.075775;-25.196745
44.412231;-30.738264
44.748688;-44.892551
45.085144;-42.341251
45.421600;-41.752972
45.758057;-30.412310
46.094513;-19.834110
46.430969;-21.793562
46.767426;-35.903652
47.103882;-36.799488
47.440338;-36.923271
47.776794;-30.235712
48.113251;-15.293117
48.449707;-14.691554
48.786163;-27.997314
49.122620;-33.873123
49.459076;-34.759983
49.795532;-35.074146
50.131989;-14.316859
50.468445;-10.814946
50.804901;-19.410278
51.141357;-37.194565
51.477814;-33.230560
51.814270;-37.898460
52.150726;-17.174442
52.487183;-10.533337
52.823639;-15.960363
53.160095;-36.407173
53.496552;-33.736145
53.833008;-36.481194
54.169464;-23.641054
54.505920;-14.076465
54.842377;-16.782536
55.178833;-36.273659
55.515289;-33.398129
55.851746;-35.308701
56.188202;-32.629860
56.524658;-19.116474
56.861115;-18.778767
57.197571;-30.914341
57.534027;-35.403709
57.870483;-37.664234
58.206940;-37.026592
58.543396;-18.549660
58.879852;-15.568225
59.216309;-25.114126
59.552765;-38.799145
59.889221;-37.806057
60.225677;-39.474453
60.562134;-24.536381
60.898590;-18.541460
61.235046;-24.472685
61.571503;-35.033279
61.907959;-32.508167
62.244415;-33.913704
62.580872;-28.939529
62.917328;-19.651434
63.253784;-22.118347
63.590240;-31.184917
63.926697;-30.992071
64.263153;-33.163822
64.599609;-33.689445
64.936066;-21.617159
65.272522;-21.870798
65.608978;-33.317928
65.945435;-32.887779
66.281891;-33.824188
66.618347;-37.724880
66.954803;-23.674524
67.291260;-21.330763
67.627716;-29.703960
67.964172;-34.910358
68.300629;-34.220428
68.637085;-37.162449
68.973541;-26.149826
69.309998;-20.662985
69.646454;-26.856693
69.982910;-40.966305
70.319366;-39.184460
70.655823;-40.728859
70.992279;-31.021170
71.328735;-21.842041
71.665192;-25.262280
72.001648;-38.990303
72.338104;-37.192200
72.674561;-43.297653
73.011017;-35.769066
73.347473;-22.701622
73.683929;-23.144720
74.020386;-36.586411
74.356842;-44.930752
74.693298;-43.266502
75.029755;-37.100002
75.366211;-24.006416
75.702667;-22.038519
76.039124;-32.098011
76.375580;-41.958801
76.712036;-41.533543
77.048492;-45.779919
77.384949;-27.964415
77.721405;-22.727488
78.057861;-29.410330
78.394318;-41.264175
78.730774;-38.081493
79.067230;-40.555031
79.403687;-30.448732
79.740143;-22.027403
80.076599;-25.732056
80.413055;-42.316807
80.749512;-39.483707
81.085968;-42.230679
81.422424;-35.718018
81.758881;-24.257700
82.095337;-25.196039
82.431793;-38.809071
82.768250;-41.510811
83.104706;-41.085167
83.441162;-37.608608
83.777618;-25.040436
84.114075;-23.046152
84.450531;-33.154148
84.786987;-37.433689
85.123444;-36.047836
85.459900;-42.523396
85.796356;-28.390903
86.132812;-23.660652
86.469269;-31.271521
86.805725;-38.626606
87.142181;-37.255623
87.478638;-43.375732
87.815094;-32.375122
88.151550;-24.096607
88.488007;-28.086613
88.824463;-34.700096
89.160919;-33.121216
89.497375;-34.009754
89.833832;-33.466629
90.170288;-24.165274
90.506744;-25.448835
90.843201;-38.359688
91.179657;-34.383274
91.516113;-34.894802
91.852570;-36.057709
92.189026;-24.666929
92.525482;-23.227806
92.861938;-33.673656
93.198395;-30.190044
93.534851;-27.502071
93.871307;-28.887861
94.207764;-23.068460
94.544220;-20.134508
94.880676;-27.722832
95.217133;-28.113691
95.553589;-22.479874
95.890045;-23.736692
96.226501;-24.156931
96.562958;-22.665699
96.899414;-27.560089
97.235870;-33.651562
97.572327;-25.327366
97.908783;-24.741955
98.245239;-27.412071
98.581696;-23.737803
98.918152;-25.798332
99.254608;-31.901455
99.591064;-26.101257
99.927521;-27.167301
100.263977;-32.361191
100.600433;-24.407217
100.936890;-22.446600
101.273346;-26.030325
101.609802;-22.284784
101.946259;-21.381794
102.282715;-27.387585
102.619171;-28.398363
102.955627;-23.655960
103.292084;-28.449972
103.628540;-26.576624
103.964996;-23.821680
104.301453;-28.119215
104.637909;-28.950310
104.974365;-22.517530
105.310822;-27.478264
105.647278;-38.581154
105.983734;-33.131165
106.320190;-34.186092
106.656647;-32.602245
106.993103;-26.229326
107.329559;-27.533401
107.666016;-32.259418
108.002472;-30.013016
108.338928;-30.739500
108.675385;-33.287537
109.011841;-28.474703
109.348297;-28.935469
109.684753;-34.383343
110.021210;-32.467342
110.357666;-30.520699
110.694122;-35.099792
111.030579;-30.776596
111.367035;-30.681658
111.703491;-38.544243
112.039948;-30.437757
112.376404;-26.279280
112.712860;-30.153025
113.049316;-30.147581
113.385773;-27.718328
113.722229;-31.196545
114.058685;-33.052803
114.395142;-30.323414
114.731598;-32.572437
115.068054;-29.632824
115.404510;-21.614773
115.740967;-23.177822
116.077423;-34.164719
116.413879;-26.987806
116.750336;-29.026417
117.086792;-31.598549
117.423248;-21.872826
117.759705;-20.969307
118.096161;-32.332153
118.432617;-24.903013
118.769073;-24.370626
119.105530;-31.144871
119.441986;-33.181602
119.778442;-30.045218
120.114899;-33.808762
120.451355;-32.019405
120.787811;-28.062727
121.124268;-32.610245
121.460724;-32.056335
121.797180;-26.589603
122.133636;-31.659420
122.470093;-38.019299
122.806549;-33.649414
123.143005;-36.792572
123.479462;-35.752396
123.815918;-34.163914
124.152374;-32.957291
124.488831;-34.473377
124.825287;-32.981983
125.161743;-36.437679
125.498199;-36.178879
125.834656;-27.852930
126.171112;-28.263992
126.507568;-32.218693
126.844025;-32.251690
127.180481;-33.008480
127.516937;-36.245667
127.853394;-34.528141
128.189850;-32.165104
128.526306;-37.671383
128.862762;-32.357533
129.199219;-28.671736
129.535675;-28.302643
129.872131;-27.460823
130.208588;-27.850634
130.545044;-32.793087
130.881500;-33.938690
131.217957;-29.380926
131.554413;-28.592064
131.890869;-27.578934
132.227325;-24.916172
132.563782;-27.733608
132.900238;-33.766922
133.236694;-35.783302
133.573151;-37.981533
133.909607;-37.290977
134.246063;-28.663784
134.582520;-28.554176
134.918976;-35.739452
135.255432;-37.980873
135.591888;-37.398388
135.928345;-36.675812
136.264801;-33.479282
136.601257;-32.884964
136.937714;-38.431496
137.274170;-39.255196
137.610626;-39.725761
137.947083;-40.718548
138.283539;-34.678169
138.619995;-30.165279
138.956451;-35.887871
139.292908;-43.109127
139.629364;-37.590263
139.965820;-38.709999
140.302277;-40.029034
140.638733;-34.789806
140.975189;-37.998165
141.311646;-42.921326
141.648102;-39.566650
141.984558;-41.121990
142.321014;-42.011303
142.657471;-34.208302
142.993927;-35.524120
143.330383;-44.711681
143.666840;-42.273582
144.003296;-44.237263
144.339752;-48.539680
144.676208;-40.781300
145.012665;-38.446716
145.349121;-43.600006
145.685577;-44.158180
146.022034;-44.877090
146.358490;-48.781712
146.694946;-38.858780
147.031403;-35.663944
147.367859;-41.824303
147.704315;-48.710346
148.040771;-44.943329
148.377228;-45.379623
148.713684;-42.352081
149.050140;-36.281250
149.386597;-39.436455
149.723053;-46.228516
150.059509;-41.532417
150.395966;-43.369190
150.732422;-42.663975
151.068878;-31.547609
151.405334;-32.451977
151.741791;-43.179039
152.078247;-43.800617
152.414703;-47.928989
152.751160;-43.714130
153.087616;-32.927830
153.424072;-32.066391
153.760529;-39.254440
154.096985;-46.243011
154.433441;-44.886757
154.769897;-42.760887
155.106354;-35.285942
155.442810;-32.401089
155.779266;-37.111706
156.115723;-44.661034
156.452179;-42.440701
156.788635;-40.880577
157.125092;-36.035816
157.461548;-30.534483
157.798004;-34.064510
158.134460;-41.043755
158.470917;-38.667587
158.807373;-40.269016
159.143829;-39.459290
159.480286;-31.688705
159.816742;-33.319321
160.153198;-41.985958
160.489655;-39.191048
160.826111;-40.054447
161.162567;-43.670898
161.499023;-34.888062
161.835480;-33.636383
162.171936;-42.093578
162.508392;-42.603008
162.844849;-41.919281
163.181305;-42.451618
163.517761;-33.443851
163.854218;-29.953003
164.190674;-37.309429
164.527130;-43.554058
164.863586;-39.875309
165.200043;-40.538471
165.536499;-38.511528
165.872955;-33.696163
166.209412;-38.454338
166.545868;-44.016632
166.882324;-40.545273
167.218781;-40.284397
167.555237;-43.340099
167.891693;-36.650368
168.228149;-39.754147
168.564606;-45.191963
168.901062;-38.749165
169.237518;-37.315022
169.573975;-44.075954
169.910431;-38.033112
170.246887;-38.902676
170.583344;-42.182369
170.919800;-34.602974
171.256256;-32.512390
171.592712;-38.690434
171.929169;-35.073025
172.265625;-31.764294
172.602081;-36.931728
172.938538;-33.148857
173.274994;-30.130644
173.611450;-34.256817
173.947906;-37.630096
174.284363;-33.669266
174.620819;-38.352478
174.957275;-36.039650
175.293732;-31.629860
175.630188;-34.335587
175.966644;-42.026123
176.303101;-37.502628
176.639557;-37.769218
176.976013;-41.749592
177.312469;-34.644382
177.648926;-36.652107
177.985382;-43.288017
178.321838;-41.538879
178.658295;-40.946583
178.994751;-44.734100
179.331207;-37.445656
179.667664;-36.980064
180.004120;-44.278217
180.340576;-38.584858
180.677032;-35.781712
181.013489;-40.950974
181.349945;-38.200127
181.686401;-35.849903
182.022858;-42.863884
182.359314;-40.334667
182.695770;-37.094166
183.032227;-40.417988
183.368683;-40.131351
183.705139;-35.880310
184.041595;-39.891747
184.378052;-43.013332
184.714508;-38.352699
185.050964;-41.093723
185.387421;-44.681175
185.723877;-40.500824
186.060333;-41.290428
186.396790;-44.669842
186.733246;-36.964985
187.069702;-36.739704
187.406158;-43.394726
187.742615;-42.288860
188.079071;-40.009563
188.415527;-43.320591
188.751984;-36.112221
189.088440;-33.089424
189.424896;-39.764446
189.761353;-38.338074
190.097809;-37.046921
190.434265;-41.245377
190.770721;-40.713913
191.107178;-37.524406
191.443634;-38.211540
191.780090;-36.991951
192.116547;-32.686386
192.453003;-37.863216
192.789459;-38.922703
193.125916;-34.253895
193.462372;-32.803001
193.798828;-33.372093
194.135284;-32.539692
194.471741;-32.680000
194.808197;-36.713112
195.144653;-30.985825
195.481110;-29.771338
195.817566;-30.107973
196.154022;-28.986124
196.490479;-31.416113
196.826935;-36.249249
197.163391;-32.715488
197.499847;-32.603470
197.836304;-34.405510
198.172760;-31.736231
198.509216;-32.600628
198.845673;-38.337345
199.182129;-39.994637
199.518585;-36.365822
199.855042;-41.630383
200.191498;-41.769241
200.527954;-38.895515
200.864410;-41.590981
201.200867;-43.541039
201.537323;-39.269363
201.873779;-41.129173
202.210236;-43.474346
202.546692;-40.373226
202.883148;-40.394653
203.219604;-41.226685
203.556061;-36.219898
203.892517;-35.445107
204.228973;-37.126675
204.565430;-33.855717
204.901886;-33.003399
205.238342;-35.336002
205.574799;-32.994080
205.911255;-31.638845
206.247711;-34.278427
206.584167;-32.011806
206.920624;-30.434071
207.257080;-33.991863
207.593536;-36.509850
207.929993;-35.364635
208.266449;-37.212673
208.602905;-36.361641
208.939362;-33.322117
209.275818;-34.905674
209.612274;-37.326534
209.948730;-35.130081
210.285187;-39.410103
210.621643;-45.173172
210.958099;-42.137539
211.294556;-42.937473
211.631012;-44.193150
211.967468;-42.026863
212.303925;-41.668335
212.640381;-43.126877
212.976837;-39.818977
213.313293;-41.082077
213.649750;-45.269531
213.986206;-41.941040
214.322662;-41.145203
214.659119;-47.724735
214.995575;-44.991489
215.332031;-45.313717
215.668488;-51.931911
216.004944;-48.201942
216.341400;-46.872906
216.677856;-48.139160
217.014313;-46.640076
217.350769;-44.339893
217.687225;-45.732368
218.023682;-46.790226
218.360138;-42.292515
218.696594;-45.481991
219.033051;-48.065369
219.369507;-43.084408
219.705963;-45.380611
220.042419;-47.734337
220.378876;-45.143448
220.715332;-48.383175
221.051788;-48.720524
221.388245;-42.740849
221.724701;-43.253391
222.061157;-48.875046
222.397614;-42.562344
222.734070;-41.854519
223.070526;-46.812546
223.406982;-44.382725
223.743439;-44.332985
224.079895;-46.259003
224.416351;-51.616299
224.752808;-49.691078
225.089264;-46.455494
225.425720;-44.098454
225.762177;-44.098320
226.098633;-45.649178
226.435089;-48.222908
226.771545;-43.217712
227.108002;-44.291538
227.444458;-44.289417
227.780914;-39.289406
228.117371;-41.447441
228.453827;-43.712502
228.790283;-37.824242
229.126740;-38.091698
229.463196;-39.223404
229.799652;-31.738369
230.136108;-32.389797
230.472565;-38.995106
230.809021;-32.434589
231.145477;-31.198685
231.481934;-38.705097
231.818390;-31.640558
232.154846;-30.271513
232.491302;-37.718361
232.827759;-36.462093
233.164215;-35.838009
233.500671;-41.194649
233.837128;-38.464973
234.173584;-33.499180
234.510040;-39.748001
234.846497;-38.205967
235.182953;-34.445034
235.519409;-39.830406
235.855865;-43.969162
236.192322;-43.329174
236.528778;-47.401287
236.865234;-43.894363
237.201691;-38.482140
237.538147;-39.120605
237.874603;-46.799683
238.211060;-40.987862
238.547516;-41.036167
238.883972;-47.168285
239.220428;-41.117443
239.556885;-41.554531
239.893341;-47.497158
240.229797;-46.307407
240.566254;-44.973721
240.902710;-43.657192
241.239166;-42.425716
241.575623;-44.268425
241.912079;-49.119694
242.248535;-45.259975
242.584991;-42.785858
242.921448;-41.327755
243.257904;-41.200249
243.594360;-37.432568
243.930817;-42.460709
244.267273;-47.603157
244.603729;-42.761276
244.940186;-42.112499
245.276642;-45.572689
245.613098;-43.783607
245.949554;-46.363369
246.286011;-50.906258
246.622467;-43.619682
246.958923;-41.709393
247.295380;-45.543007
247.631836;-42.191456
247.968292;-42.415646
248.304749;-46.090874
248.641205;-43.722454
248.977661;-43.467274
249.314117;-48.298283
249.650574;-50.809650
249.987030;-48.808113
250.323486;-47.046337
250.659943;-43.504288
250.996399;-42.943703
251.332855;-46.950169
251.669312;-48.874985
252.005768;-44.125645
252.342224;-49.909309
252.678680;-48.437672
253.015137;-45.108814
253.351593;-47.537651
253.688049;-50.046551
254.024506;-44.649380
254.360962;-44.868011
254.697418;-44.259766
255.033875;-40.759956
255.370331;-41.200134
255.706787;-44.162464
256.043243;-37.787750
256.379700;-37.365635
256.716156;-38.946117
257.052612;-36.728889
257.389069;-36.679508
257.725525;-37.782326
258.061981;-36.833256
258.398438;-35.699234
258.734894;-36.845570
259.071350;-34.400509
259.407806;-34.080330
259.744263;-36.302364
260.080719;-38.778919
260.417175;-39.145840
260.753632;-41.761375
261.090088;-43.590908
261.426544;-43.100594
261.763000;-45.274158
262.099457;-46.567242
262.435913;-41.635757
262.772369;-39.037819
263.108826;-38.456497
263.445282;-37.481724
263.781738;-39.305706
264.118195;-43.493031
264.454651;-41.294613
264.791107;-41.375969
265.127563;-41.000256
265.464020;-37.654102
265.800476;-37.599304
266.136932;-41.724873
266.473389;-42.780403
266.809845;-43.687939
267.146301;-48.212006
267.482758;-48.403618
267.819214;-45.273945
268.155670;-46.198738
268.492126;-44.450211
268.828583;-41.786171
269.165039;-48.462635
269.501495;-51.865108
269.837952;-47.416157
270.174408;-50.998409
270.510864;-50.715004
270.847321;-46.014580
271.183777;-46.653770
271.520233;-49.903679
271.856689;-50.427914
272.193146;-51.654369
272.529602;-54.451130
272.866058;-48.469490
273.202515;-48.226448
273.538971;-51.957611
273.875427;-46.858749
274.211884;-47.618336
274.548340;-52.394455
274.884796;-51.437874
275.221252;-46.765118
275.557709;-50.787479
275.894165;-50.685734
276.230621;-50.494110
276.567078;-54.540985
276.903534;-47.794987
277.239990;-44.141968
277.576447;-48.795864
277.912903;-53.651150
278.249359;-51.382584
278.585815;-49.808010
278.922272;-50.382469
279.258728;-47.991352
279.595184;-50.322300
279.931641;-51.970570
280.268097;-48.266010
280.604553;-48.751888
280.941010;-52.256138
281.277466;-41.773113
281.613922;-43.528118
281.950378;-50.625744
282.286835;-46.393219
282.623291;-46.307175
282.959747;-52.987389
283.296204;-48.522724
283.632660;-47.664181
283.969116;-49.671120
284.305573;-48.405964
284.642029;-48.505909
284.978485;-52.385319
285.314941;-49.848701
285.651398;-47.328354
285.987854;-49.659187
286.324310;-48.940720
286.660767;-44.691170
286.997223;-50.218918
287.333679;-49.327602
287.670135;-46.949799
288.006592;-49.770832
288.343048;-51.470371
288.679504;-43.819557
289.015961;-43.313004
289.352417;-44.829159
289.688873;-38.489388
290.025330;-41.359962
290.361786;-44.464252
290.698242;-40.115051
291.034698;-38.537815
291.371155;-43.623234
291.707611;-38.531693
292.044067;-38.067505
292.380524;-39.957031
292.716980;-36.580814
293.053436;-35.512341
293.389893;-39.557209
293.726349;-38.686260
294.062805;-36.960995
294.399261;-43.101551
294.735718;-40.495075
295.072174;-40.302719
295.408630;-46.718147
295.745087;-44.497116
296.081543;-43.573307
296.417999;-46.498302
296.754456;-45.288746
297.090912;-43.252213
297.427368;-46.001980
297.763824;-44.710079
298.100281;-40.393745
298.436737;-42.336281
298.773193;-50.177132
299.109650;-44.914661
299.446106;-45.879543
299.782562;-47.036911
300.119019;-47.423267
300.455475;-47.833721
300.791931;-51.319164
301.128387;-50.517944
301.464844;-49.303749
301.801300;-53.229443
302.137756;-48.831821
302.474213;-46.417660
302.810669;-49.318691
303.147125;-51.625648
303.483582;-50.382378
303.820038;-49.305500
304.156494;-47.757954
304.492950;-45.084232
304.829407;-47.486111
305.165863;-49.524082
305.502319;-47.800724
305.838776;-49.038799
306.175232;-46.730923
306.511688;-40.080353
306.848145;-42.726898
307.184601;-47.631386
307.521057;-44.479443
307.857513;-44.011959
308.193970;-42.308765
308.530426;-38.337830
308.866882;-38.142197
309.203339;-43.197933
309.539795;-41.110596
309.876251;-39.431175
310.212708;-42.060017
310.549164;-40.995667
310.885620;-38.674923
311.222076;-39.539787
311.558533;-43.111187
311.894989;-43.022270
312.231445;-39.060406
312.567902;-40.275024
312.904358;-40.413086
313.240814;-39.976669
313.577271;-42.067566
313.913727;-44.092083
314.250183;-44.562042
314.586639;-43.422794
314.923096;-42.012398
315.259552;-44.061371
315.596008;-46.594913
315.932465;-45.271347
316.268921;-47.479572
316.605377;-48.385082
316.941833;-46.469761
317.278290;-49.056679
317.614746;-50.584431
317.951202;-47.970524
318.287659;-46.679272
318.624115;-49.509953
318.960571;-50.163940
319.297028;-49.955437
319.633484;-51.703384
319.969940;-52.376240
320.306396;-49.624146
320.642853;-49.890083
320.979309;-46.221596
321.315765;-44.873219
321.652222;-48.633038
321.988678;-50.733997
322.325134;-49.549988
322.661591;-50.246288
322.998047;-48.780964
323.334503;-43.053101
323.670959;-44.430054
324.007416;-49.789459
324.343872;-49.292065
324.680328;-49.283707
325.016785;-51.205826
325.353241;-50.739109
325.689697;-48.451599
326.026154;-48.023682
326.362610;-47.458057
326.699066;-48.153698
327.035522;-50.274590
327.371979;-46.079269
327.708435;-45.795101
328.044891;-50.351631
328.381348;-50.597828
328.717804;-50.347404
329.054260;-52.135818
329.390717;-50.887737
329.727173;-46.246880
330.063629;-48.277256
330.400085;-50.943470
330.736542;-51.346752
331.072998;-52.994465
331.409454;-50.771225
331.745911;-46.420067
332.082367;-49.250263
332.418823;-51.463520
332.755280;-49.345596
333.091736;-52.034855
333.428192;-53.931393
333.764648;-47.040817
334.101105;-48.698925
334.437561;-56.363060
334.774017;-52.169235
335.110474;-50.724716
335.446930;-54.293293
335.783386;-47.290222
336.119843;-46.479126
336.456299;-53.171417
336.792755;-53.346630
337.129211;-53.418865
337.465668;-52.796371
337.802124;-49.177353
338.138580;-48.434067
338.475037;-52.646545
338.811493;-52.757717
339.147949;-52.020855
339.484406;-52.278049
339.820862;-49.622944
340.157318;-46.986534
340.493774;-49.826969
340.830231;-50.708046
341.166687;-47.772537
341.503143;-51.036556
341.839600;-50.815022
342.176056;-46.370808
342.512512;-47.909058
342.848969;-47.771072
343.185425;-44.074146
343.521881;-44.011173
343.858337;-49.221321
344.194794;-42.799881
344.531250;-42.286797
344.867706;-46.341908
345.204163;-46.186569
345.540619;-46.046688
345.877075;-43.693760
346.213531;-38.308132
346.549988;-39.586426
346.886444;-43.425518
347.222900;-45.424145
347.559357;-42.694664
347.895813;-45.851158
348.232269;-44.785034
348.568726;-42.876049
348.905182;-42.860909
349.241638;-43.219231
349.578094;-44.761086
349.914551;-44.583004
350.251007;-47.422626
350.587463;-46.680134
350.923920;-45.420727
351.260376;-48.911488
351.596832;-45.246761
351.933289;-42.973160
352.269745;-45.390762
352.606201;-40.937569
352.942657;-40.728184
353.279114;-44.874855
353.615570;-47.189186
353.952026;-43.912292
354.288483;-49.826668
354.624939;-48.150227
354.961395;-45.213734
355.297852;-49.328133
355.634308;-48.070225
355.970764;-49.211700
356.307220;-52.705944
356.643677;-47.544823
356.980133;-41.661701
357.316589;-46.785069
357.653046;-51.708672
357.989502;-49.871220
358.325958;-52.755676
358.662415;-50.765366
358.998871;-48.624783
359.335327;-50.084190
359.671783;-52.589016
360.008240;-50.424381
360.344696;-50.531311
360.681152;-54.259884
361.017609;-47.244106
361.354065;-46.378914
361.690521;-53.926353
362.026978;-48.960468
362.363434;-46.958286
362.699890;-50.009228
363.036346;-47.597530
363.372803;-46.890728
363.709259;-52.457916
364.045715;-51.406506
364.382172;-48.549763
364.718628;-49.712906
365.055084;-49.683258
365.391541;-48.700848
365.727997;-54.847122
366.064453;-52.944305
366.400909;-51.564632
366.737366;-51.469509
367.073822;-51.772552
367.410278;-50.339275
367.746735;-54.102001
368.083191;-56.429745
