"Frequency (Hz)";"Absolute Amplitude (a.u.)"
2.343750000E1;7.466362568E-1
4.687500000E1;8.264914904E-1
7.031250000E1;1.083963600E0
9.375000000E1;1.690363655E0
1.171875000E2;1.951368317E0
1.406250000E2;5.300933853E-1
1.640625000E2;1.638774821E0
1.875000000E2;1.416467312E0
2.109375000E2;8.197473905E0
2.343750000E2;4.174694965E0
2.578125000E2;2.449482790E0
2.812500000E2;2.718331022E0
3.046875000E2;7.054230274E-1
3.281250000E2;2.244457005E0
3.515625000E2;8.262670628E-1
3.750000000E2;4.762607360E-1
3.984375000E2;5.239656709E-1
4.218750000E2;6.898994411E-1
4.453125000E2;1.537526724E0
4.687500000E2;1.522469367E0
4.921875000E2;1.296072589E0
5.156250000E2;1.452042112E0
5.390625000E2;1.893105464E0
5.625000000E2;4.430527036E0
5.859375000E2;9.808872814E-1
6.093750000E2;1.453247927E0
6.328125000E2;6.263672934E-1
6.562500000E2;4.450392567E0
6.796875000E2;1.257667681E0
7.031250000E2;6.458263695E-1
7.265625000E2;4.325967555E-1
7.500000000E2;5.379380979E-1
7.734375000E2;5.981384703E-1
7.968750000E2;5.428394918E-1
8.203125000E2;4.924240412E-1
8.437500000E2;2.020931692E-1
8.671875000E2;3.675463151E-1
8.906250000E2;4.736120279E-1
9.140625000E2;3.635274471E-1
9.375000000E2;2.844802507E-1
9.609375000E2;2.590485274E-1
9.843750000E2;2.278918779E-1
1.007812500E3;8.671641318E-2
1.031250000E3;1.713198504E-1
1.054687500E3;1.657585856E-1
1.078125000E3;4.326781490E-1
1.101562500E3;7.689440472E-1
1.125000000E3;1.233917773E-1
1.148437500E3;4.578113919E-1
1.171875000E3;1.723716709E-1
1.195312500E3;2.144325095E-1
1.218750000E3;1.633611202E-1
1.242187500E3;3.229711966E-1
1.265625000E3;1.745940549E-1
1.289062500E3;4.937062787E-1
1.312500000E3;4.144635253E-1
1.335937500E3;7.473654105E-1
1.359375000E3;1.967869548E-1
1.382812500E3;1.956497477E-1
1.406250000E3;1.404185275E-1
1.429687500E3;2.978294666E-1
1.453125000E3;2.844094683E-1
1.476562500E3;3.156082476E-1
1.500000000E3;7.884820744E-1
1.523437500E3;3.842881041E-1
1.546875000E3;3.126886111E-1
1.570312500E3;1.161571439E-1
1.593750000E3;1.812100174E-1
1.617187500E3;7.139474508E-2
1.640625000E3;1.965221707E-1
1.664062500E3;1.015536964E-1
1.687500000E3;5.768452815E-1
1.710937500E3;2.561727750E-1
1.734375000E3;2.610979259E-1
1.757812500E3;1.339138722E-1
1.781250000E3;7.828448434E-2
1.804687500E3;2.284729183E-1
1.828125000E3;1.999881670E-1
1.851562500E3;1.634220608E-1
1.875000000E3;1.442022558E-1
1.898437500E3;4.873555548E-2
1.921875000E3;4.294867122E-2
1.945312500E3;1.608984385E-1
1.968750000E3;5.400927046E-1
1.992187500E3;6.873551568E-2
