"Time (s)";"Peak-Frequency"
0.000000000E0;0.000000000E0
4.266666667E-2;4.687500000E1
8.533333333E-2;4.687500000E1
1.280000000E-1;2.343750000E1
1.706666667E-1;4.687500000E1
2.133333333E-1;2.343750000E1
2.560000000E-1;9.375000000E1
2.986666667E-1;4.687500000E1
3.413333333E-1;4.687500000E1
3.840000000E-1;4.687500000E1
4.266666667E-1;2.343750000E1
4.693333333E-1;4.687500000E1
5.120000000E-1;2.343750000E1
5.546666667E-1;4.687500000E1
5.973333333E-1;7.031250000E1
6.400000000E-1;4.687500000E1
6.826666667E-1;4.453125000E2
7.253333333E-1;4.453125000E2
7.680000000E-1;4.218750000E2
8.106666667E-1;4.453125000E2
8.533333333E-1;4.453125000E2
8.960000000E-1;1.875000000E2
9.386666667E-1;1.171875000E2
9.813333333E-1;2.109375000E2
1.024000000E0;6.562500000E2
1.066666667E0;1.007812500E3
1.109333333E0;7.265625000E2
1.152000000E0;7.500000000E2
1.194666667E0;3.750000000E2
1.237333333E0;3.750000000E2
1.280000000E0;3.750000000E2
1.322666667E0;3.750000000E2
1.365333333E0;4.453125000E2
1.408000000E0;4.453125000E2
1.450666667E0;7.265625000E2
1.493333333E0;7.265625000E2
1.536000000E0;1.875000000E2
1.578666667E0;1.171875000E2
1.621333333E0;7.265625000E2
1.664000000E0;7.265625000E2
1.706666667E0;2.812500000E2
1.749333333E0;2.343750000E2
1.792000000E0;1.875000000E2
1.834666667E0;5.625000000E2
1.877333333E0;5.625000000E2
1.920000000E0;5.625000000E2
1.962666667E0;2.812500000E2
2.005333333E0;2.812500000E2
2.048000000E0;1.875000000E2
2.090666667E0;2.812500000E2
2.133333333E0;2.812500000E2
2.176000000E0;1.640625000E2
2.218666667E0;1.875000000E2
2.261333333E0;2.109375000E2
2.304000000E0;5.625000000E2
2.346666667E0;2.812500000E2
2.389333333E0;2.812500000E2
2.432000000E0;4.921875000E2
2.474666667E0;4.921875000E2
2.517333333E0;4.921875000E2
2.560000000E0;4.921875000E2
2.602666667E0;4.921875000E2
2.645333333E0;1.171875000E2
2.688000000E0;1.171875000E2
2.730666667E0;4.921875000E2
2.773333333E0;1.171875000E2
2.816000000E0;2.578125000E2
2.858666667E0;2.109375000E2
2.901333333E0;4.921875000E2
2.944000000E0;4.921875000E2
2.986666667E0;4.921875000E2
3.029333333E0;4.921875000E2
3.072000000E0;4.687500000E2
3.114666667E0;4.921875000E2
3.157333333E0;4.921875000E2
3.200000000E0;4.453125000E2
3.242666667E0;2.343750000E2
3.285333333E0;1.171875000E2
3.328000000E0;1.171875000E2
3.370666667E0;5.625000000E2
3.413333333E0;1.171875000E2
3.456000000E0;5.625000000E2
3.498666667E0;1.875000000E2
3.541333333E0;3.281250000E2
3.584000000E0;2.812500000E2
3.626666667E0;6.562500000E2
3.669333333E0;6.562500000E2
3.712000000E0;6.562500000E2
3.754666667E0;2.109375000E2
3.797333333E0;6.562500000E2
3.840000000E0;6.562500000E2
3.882666667E0;6.562500000E2
3.925333333E0;2.109375000E2
3.968000000E0;2.109375000E2
4.010666667E0;2.109375000E2
4.053333333E0;2.109375000E2
4.096000000E0;5.625000000E2
