"Time (s)";"Recording (a.u.)"
0.000000000E0;-7.727128919E-3
2.083333333E-5;-7.729296107E-3
4.166666667E-5;-8.976860903E-3
6.250000000E-5;-9.955836460E-3
8.333333333E-5;-1.000856701E-2
1.041666667E-4;-1.073886082E-2
1.250000000E-4;-1.268782839E-2
1.458333333E-4;-1.482037175E-2
1.666666667E-4;-1.573600061E-2
1.875000000E-4;-1.462176163E-2
2.083333333E-4;-1.324904244E-2
2.291666667E-4;-1.330485847E-2
2.500000000E-4;-1.315336023E-2
2.708333333E-4;-1.211296674E-2
2.916666667E-4;-1.167681161E-2
3.125000000E-4;-1.078111771E-2
3.333333333E-4;-8.944956586E-3
3.541666667E-4;-8.094244637E-3
3.750000000E-4;-7.991262712E-3
3.958333333E-4;-7.630932610E-3
4.166666667E-4;-7.863604464E-3
4.375000000E-4;-8.898466825E-3
4.583333333E-4;-9.131442755E-3
4.791666667E-4;-8.724647574E-3
5.000000000E-4;-9.030073881E-3
5.208333333E-4;-9.527258575E-3
5.416666667E-4;-1.013109274E-2
5.625000000E-4;-1.170784235E-2
5.833333333E-4;-1.350990403E-2
6.041666667E-4;-1.430463791E-2
6.250000000E-4;-1.450364012E-2
6.458333333E-4;-1.440480910E-2
6.666666667E-4;-1.378977112E-2
6.875000000E-4;-1.376998890E-2
7.083333333E-4;-1.397578977E-2
7.291666667E-4;-1.308768801E-2
7.500000000E-4;-1.274631079E-2
7.708333333E-4;-1.327726431E-2
7.916666667E-4;-1.288250554E-2
8.125000000E-4;-1.249633636E-2
8.333333333E-4;-1.373629551E-2
8.541666667E-4;-1.534125768E-2
8.750000000E-4;-1.597017050E-2
8.958333333E-4;-1.689943485E-2
9.166666667E-4;-1.834550686E-2
9.375000000E-4;-1.901938394E-2
9.583333333E-4;-1.917839050E-2
9.791666667E-4;-1.890845411E-2
1.000000000E-3;-1.753866486E-2
1.020833333E-3;-1.624698378E-2
1.041666667E-3;-1.627569646E-2
1.062500000E-3;-1.545790955E-2
1.083333333E-3;-1.290971972E-2
1.104166667E-3;-1.123658568E-2
1.125000000E-3;-1.078593079E-2
1.145833333E-3;-1.003069989E-2
1.166666667E-3;-9.669474326E-3
1.187500000E-3;-1.094939280E-2
1.208333333E-3;-1.187363826E-2
1.229166667E-3;-1.168777514E-2
1.250000000E-3;-1.251315512E-2
1.270833333E-3;-1.341594476E-2
1.291666667E-3;-1.295848284E-2
1.312500000E-3;-1.181872468E-2
1.333333333E-3;-1.087959670E-2
1.354166667E-3;-1.065465063E-2
1.375000000E-3;-1.041378360E-2
1.395833333E-3;-9.299664758E-3
1.416666667E-3;-7.562645245E-3
1.437500000E-3;-6.379950326E-3
1.458333333E-3;-5.573845468E-3
1.479166667E-3;-3.822138533E-3
1.500000000E-3;-2.246231539E-3
1.520833333E-3;-1.898070681E-3
1.541666667E-3;-1.363885589E-3
1.562500000E-3;9.278572543E-5
