"Frequency (Hz)";"Absolute Amplitude (a.u.)"
2.343750000E1;4.605387408E-2
4.687500000E1;8.615508201E-2
7.031250000E1;1.044001871E-1
9.375000000E1;2.313811478E-1
1.171875000E2;1.037709888E0
1.406250000E2;4.261389750E-1
1.640625000E2;4.520314605E-1
1.875000000E2;1.304699603E0
2.109375000E2;2.212550189E0
2.343750000E2;5.497387713E-1
2.578125000E2;1.184805559E-1
2.812500000E2;4.113234225E-1
3.046875000E2;4.279133678E-2
3.281250000E2;7.519757972E-1
3.515625000E2;2.806582056E-2
3.750000000E2;1.197060082E-1
3.984375000E2;1.904140211E-1
4.218750000E2;3.213737195E-2
4.453125000E2;1.333052062E-1
4.687500000E2;2.302939321E-1
4.921875000E2;7.606450255E-1
5.156250000E2;4.489099385E-2
5.390625000E2;3.567670155E-1
5.625000000E2;6.799079570E-1
5.859375000E2;3.363183453E-1
6.093750000E2;1.636299948E-1
6.328125000E2;1.548448225E-1
6.562500000E2;9.311805678E-1
6.796875000E2;6.269832764E-2
7.031250000E2;1.095943102E-1
7.265625000E2;1.452650993E-1
7.500000000E2;3.389673646E-2
7.734375000E2;5.308925562E-2
7.968750000E2;3.656273295E-2
8.203125000E2;4.578906598E-2
8.437500000E2;3.942254008E-2
8.671875000E2;3.751169065E-2
8.906250000E2;7.004186367E-2
9.140625000E2;7.820424681E-2
9.375000000E2;4.212586205E-2
9.609375000E2;2.754640907E-2
9.843750000E2;1.750991429E-1
1.007812500E3;1.168441969E-1
1.031250000E3;2.480414353E-2
1.054687500E3;1.205490395E-2
1.078125000E3;8.364029701E-2
1.101562500E3;2.050181870E-1
1.125000000E3;6.051862046E-2
1.148437500E3;1.033251804E-1
1.171875000E3;1.124405853E-1
1.195312500E3;4.107375323E-2
1.218750000E3;1.044206438E-2
1.242187500E3;8.976407337E-3
1.265625000E3;2.873865518E-2
1.289062500E3;4.902599932E-2
1.312500000E3;4.418540400E-2
1.335937500E3;1.457772851E-1
1.359375000E3;5.368883353E-2
1.382812500E3;5.610621150E-2
1.406250000E3;5.569660020E-2
1.429687500E3;9.598378682E-2
1.453125000E3;7.607812894E-2
1.476562500E3;9.640725836E-2
1.500000000E3;1.322717631E-1
1.523437500E3;1.001252887E-1
1.546875000E3;2.376769027E-1
1.570312500E3;1.688153201E-2
1.593750000E3;6.544496649E-2
1.617187500E3;1.595503904E-1
1.640625000E3;3.005095267E-1
1.664062500E3;1.091328237E-1
1.687500000E3;1.828641790E-1
1.710937500E3;5.366867336E-2
1.734375000E3;5.448119538E-2
1.757812500E3;2.284796907E-2
1.781250000E3;1.911947851E-2
1.804687500E3;1.730078285E-1
1.828125000E3;7.578748055E-2
1.851562500E3;1.013392631E-1
1.875000000E3;1.327157658E-1
1.898437500E3;3.484528440E-2
1.921875000E3;4.173788163E-2
1.945312500E3;3.783971214E-2
