"Time (s)";"Peak-Frequency"
7.789583324E-4;1.593750000E3
4.344562500E-2;2.343750000E1
8.611229167E-2;9.375000000E1
1.287789583E-1;2.343750000E1
1.714456250E-1;4.687500000E1
2.141122917E-1;4.687500000E1
2.567789583E-1;2.343750000E1
2.994456250E-1;4.687500000E1
3.421122917E-1;4.687500000E1
3.847789583E-1;4.687500000E1
4.274456250E-1;1.157812500E4
4.701122917E-1;1.319531250E4
5.127789583E-1;2.039062500E3
5.554456250E-1;4.453125000E2
5.981122917E-1;2.109375000E2
6.407789583E-1;2.109375000E2
6.834456250E-1;2.109375000E2
7.261122917E-1;1.875000000E2
7.687789583E-1;1.171875000E2
8.114456250E-1;2.109375000E2
8.541122917E-1;1.640625000E3
8.967789583E-1;1.007812500E3
9.394456250E-1;1.007812500E3
9.821122917E-1;1.007812500E3
1.024778958E0;1.007812500E3
1.067445625E0;1.007812500E3
1.110112292E0;1.476562500E3
1.152778958E0;1.007812500E3
1.195445625E0;1.007812500E3
1.238112292E0;2.109375000E2
1.280778958E0;7.265625000E2
1.323445625E0;7.265625000E2
1.366112292E0;2.109375000E2
1.408778958E0;1.171875000E2
1.451445625E0;1.171875000E2
1.494112292E0;7.265625000E2
1.536778958E0;2.812500000E2
1.579445625E0;2.343750000E2
1.622112292E0;1.875000000E2
1.664778958E0;2.812500000E2
1.707445625E0;5.625000000E2
1.750112292E0;5.625000000E2
1.792778958E0;2.812500000E2
1.835445625E0;2.812500000E2
1.878112292E0;1.875000000E2
1.920778958E0;2.812500000E2
1.963445625E0;2.812500000E2
2.006112292E0;1.640625000E2
2.048778958E0;1.875000000E2
2.091445625E0;2.812500000E2
2.134112292E0;6.796875000E2
2.176778958E0;2.812500000E2
2.219445625E0;2.812500000E2
2.262112292E0;2.812500000E2
2.304778958E0;4.921875000E2
2.347445625E0;4.921875000E2
2.390112292E0;4.921875000E2
2.432778958E0;2.578125000E2
2.475445625E0;1.171875000E2
2.518112292E0;1.171875000E2
2.560778958E0;2.812500000E2
2.603445625E0;2.812500000E2
2.646112292E0;2.578125000E2
2.688778958E0;2.109375000E2
2.731445625E0;1.875000000E2
2.774112292E0;1.171875000E2
2.816778958E0;1.171875000E2
2.859445625E0;1.171875000E2
2.902112292E0;1.429687500E3
2.944778958E0;4.921875000E2
2.987445625E0;7.265625000E2
3.030112292E0;7.265625000E2
3.072778958E0;2.578125000E2
3.115445625E0;1.640625000E2
3.158112292E0;1.171875000E2
3.200778958E0;2.343750000E2
3.243445625E0;1.171875000E2
3.286112292E0;2.578125000E2
3.328778958E0;1.875000000E2
3.371445625E0;3.281250000E2
3.414112292E0;2.812500000E2
3.456778958E0;7.265625000E2
3.499445625E0;2.812500000E2
3.542112292E0;6.562500000E2
3.584778958E0;2.109375000E2
3.627445625E0;6.562500000E2
3.670112292E0;6.562500000E2
3.712778958E0;6.562500000E2
3.755445625E0;2.109375000E2
3.798112292E0;2.109375000E2
3.840778958E0;2.109375000E2
3.883445625E0;2.109375000E2
3.926112292E0;2.109375000E2
3.968778958E0;2.109375000E2
4.011445625E0;2.109375000E2
4.054112292E0;2.109375000E2
4.096778958E0;2.109375000E2
4.139445625E0;5.625000000E2
4.182112292E0;1.640625000E2
4.224778958E0;7.031250000E1
4.267445625E0;6.562500000E2
4.310112292E0;1.640625000E3
4.352778958E0;1.640625000E3
4.395445625E0;1.640625000E3
4.438112292E0;1.617187500E3
4.480778958E0;1.664062500E3
4.523445625E0;2.812500000E2
4.566112292E0;2.812500000E2
4.608778958E0;3.046875000E2
4.651445625E0;2.812500000E2
4.694112292E0;7.265625000E2
4.736778958E0;1.851562500E3
4.779445625E0;7.265625000E2
4.822112292E0;1.875000000E2
4.864778958E0;1.171875000E2
4.907445625E0;1.171875000E2
4.950112292E0;1.851562500E3
4.992778958E0;3.046875000E2
5.035445625E0;1.875000000E2
5.078112292E0;5.859375000E2
5.120778958E0;5.859375000E2
5.163445625E0;5.859375000E2
5.206112292E0;5.859375000E2
5.248778958E0;5.859375000E2
5.291445625E0;5.859375000E2
5.334112292E0;5.859375000E2
5.376778958E0;5.859375000E2
5.419445625E0;5.859375000E2
5.462112292E0;5.859375000E2
5.504778958E0;2.109375000E2
5.547445625E0;2.109375000E2
5.590112292E0;6.796875000E2
5.632778958E0;7.265625000E2
5.675445625E0;2.015625000E3
5.718112292E0;4.921875000E2
5.760778958E0;4.921875000E2
5.803445625E0;2.109375000E2
5.846112292E0;3.750000000E2
5.888778958E0;1.875000000E2
5.931445625E0;1.171875000E2
5.974112292E0;2.109375000E2
6.016778958E0;2.343750000E2
6.059445625E0;2.578125000E2
6.102112292E0;2.578125000E2
6.144778958E0;4.687500000E2
6.187445625E0;4.921875000E2
6.230112292E0;2.343750000E2
6.272778958E0;2.812500000E2
6.315445625E0;2.812500000E2
6.358112292E0;2.812500000E2
6.400778958E0;2.343750000E2
6.443445625E0;2.812500000E2
6.486112292E0;2.343750000E2
6.528778958E0;1.875000000E2
6.571445625E0;1.171875000E2
6.614112292E0;1.171875000E2
6.656778958E0;3.046875000E2
6.699445625E0;1.171875000E2
6.742112292E0;2.109375000E2
6.784778958E0;2.812500000E2
6.827445625E0;1.171875000E2
6.870112292E0;1.171875000E2
6.912778958E0;1.171875000E2
6.955445625E0;1.875000000E2
6.998112292E0;1.171875000E2
7.040778958E0;1.171875000E2
7.083445625E0;2.109375000E2
7.126112292E0;2.109375000E2
7.168778958E0;1.640625000E2
7.211445625E0;1.171875000E2
7.254112292E0;1.171875000E2
7.296778958E0;2.109375000E2
7.339445625E0;1.593750000E3
7.382112292E0;1.171875000E2
7.424778958E0;2.109375000E2
7.467445625E0;2.109375000E2
7.510112292E0;2.812500000E2
7.552778958E0;1.171875000E2
7.595445625E0;1.171875000E2
7.638112292E0;1.171875000E2
7.680778958E0;7.031250000E1
7.723445625E0;1.664062500E3
7.766112292E0;1.664062500E3
7.808778958E0;1.664062500E3
7.851445625E0;1.640625000E3
7.894112292E0;1.617187500E3
7.936778958E0;1.664062500E3
7.979445625E0;7.265625000E2
8.022112292E0;1.500000000E3
8.064778958E0;1.476562500E3
8.107445625E0;1.476562500E3
8.150112292E0;7.265625000E2
8.192778958E0;7.265625000E2
8.235445625E0;1.875000000E2
8.278112292E0;1.171875000E2
8.320778958E0;1.171875000E2
8.363445625E0;7.265625000E2
8.406112292E0;7.265625000E2
8.448778958E0;2.109375000E2
8.491445625E0;1.875000000E2
8.534112292E0;2.109375000E2
8.576778958E0;1.875000000E2
8.619445625E0;2.812500000E2
8.662112292E0;5.625000000E2
8.704778958E0;2.812500000E2
8.747445625E0;2.812500000E2
8.790112292E0;2.812500000E2
8.832778958E0;9.375000000E1
8.875445625E0;2.812500000E2
8.918112292E0;2.109375000E2
8.960778958E0;1.875000000E2
9.003445625E0;6.562500000E2
9.046112292E0;4.921875000E2
9.088778958E0;1.875000000E2
9.131445625E0;1.875000000E2
9.174112292E0;2.109375000E2
9.216778958E0;4.687500000E2
9.259445625E0;4.921875000E2
9.302112292E0;1.875000000E2
9.344778958E0;1.171875000E2
9.387445625E0;1.171875000E2
9.430112292E0;7.265625000E2
9.472778958E0;7.265625000E2
9.515445625E0;2.109375000E2
9.558112292E0;2.812500000E2
9.600778958E0;4.921875000E2
9.643445625E0;2.812500000E2
9.686112292E0;2.578125000E2
9.728778958E0;2.109375000E2
9.771445625E0;1.875000000E2
9.814112292E0;4.453125000E2
9.856778958E0;4.921875000E2
9.899445625E0;2.578125000E2
9.942112292E0;2.109375000E2
9.984778958E0;1.171875000E2
1.002744562E1;1.171875000E2
1.007011229E1;5.625000000E2
1.011277896E1;5.625000000E2
1.015544562E1;2.109375000E2
1.019811229E1;2.109375000E2
1.024077896E1;2.812500000E2
1.028344562E1;6.562500000E2
1.032611229E1;6.562500000E2
1.036877896E1;6.562500000E2
1.041144562E1;2.109375000E2
1.045411229E1;2.109375000E2
1.049677896E1;2.343750000E2
1.053944562E1;2.109375000E2
