"Time (s)";"Recording (a.u.)"
0.000000000E0;2.436526585E-3
2.083333333E-5;2.670230810E-3
4.166666667E-5;2.960207872E-3
6.250000000E-5;3.249483649E-3
8.333333333E-5;3.143341746E-3
1.041666667E-4;3.212432610E-3
1.250000000E-4;3.359468887E-3
1.458333333E-4;3.162863664E-3
1.666666667E-4;2.603739500E-3
1.875000000E-4;2.268624725E-3
2.083333333E-4;2.155345166E-3
2.291666667E-4;1.606391626E-3
2.500000000E-4;1.328621875E-3
2.708333333E-4;1.221392769E-3
2.916666667E-4;8.739401237E-4
3.125000000E-4;9.297183133E-4
3.333333333E-4;1.067328500E-3
3.541666667E-4;6.517489091E-4
3.750000000E-4;-1.273170074E-5
3.958333333E-4;-2.316156460E-4
4.166666667E-4;-7.629099855E-5
4.375000000E-4;3.019764845E-4
4.583333333E-4;6.517128786E-4
4.791666667E-4;4.385973443E-4
5.000000000E-4;2.833084727E-4
5.208333333E-4;7.464425289E-4
5.416666667E-4;1.520517399E-3
5.625000000E-4;1.953185303E-3
5.833333333E-4;2.093536779E-3
6.041666667E-4;2.376616234E-3
6.250000000E-4;2.385194413E-3
6.458333333E-4;2.321923152E-3
6.666666667E-4;2.280684421E-3
6.875000000E-4;2.060221275E-3
7.083333333E-4;1.806947635E-3
7.291666667E-4;1.431340468E-3
7.500000000E-4;1.138048014E-3
7.708333333E-4;8.416350465E-4
7.916666667E-4;5.855588824E-4
8.125000000E-4;3.431630321E-4
8.333333333E-4;2.277792737E-5
8.541666667E-4;-1.796916622E-4
8.750000000E-4;-6.303364062E-4
8.958333333E-4;-1.121923560E-3
9.166666667E-4;-1.251948648E-3
9.375000000E-4;-1.152717276E-3
9.583333333E-4;-1.170164440E-3
9.791666667E-4;-1.331974170E-3
1.000000000E-3;-1.428658725E-3
1.020833333E-3;-1.466241782E-3
1.041666667E-3;-1.099435380E-3
1.062500000E-3;-6.317064981E-4
1.083333333E-3;-5.754290614E-4
1.104166667E-3;-6.724289269E-4
1.125000000E-3;-6.820095005E-4
1.145833333E-3;-5.423254916E-4
1.166666667E-3;-4.288995988E-4
1.187500000E-3;-3.727505973E-4
1.208333333E-3;-3.254044277E-4
1.229166667E-3;-2.641495084E-4
1.250000000E-3;-1.012447901E-4
1.270833333E-3;-1.573688060E-4
1.291666667E-3;-4.898614716E-4
1.312500000E-3;-8.885007701E-4
1.333333333E-3;-1.224492560E-3
1.354166667E-3;-1.507620094E-3
1.375000000E-3;-1.951582148E-3
1.395833333E-3;-2.322243294E-3
1.416666667E-3;-2.706877189E-3
1.437500000E-3;-3.222493920E-3
1.458333333E-3;-3.416044638E-3
1.479166667E-3;-3.676464548E-3
1.500000000E-3;-4.178076051E-3
1.520833333E-3;-4.438893404E-3
1.541666667E-3;-4.574500956E-3
1.562500000E-3;-4.782944918E-3
1.583333333E-3;-4.725762643E-3
1.604166667E-3;-4.120185971E-3
1.625000000E-3;-3.940931987E-3
1.645833333E-3;-4.083666950E-3
1.666666667E-3;-3.673137864E-3
1.687500000E-3;-3.471618053E-3
1.708333333E-3;-3.477957100E-3
1.729166667E-3;-3.172589932E-3
1.750000000E-3;-2.671499969E-3
1.770833333E-3;-2.355381846E-3
1.791666667E-3;-2.357311780E-3
1.812500000E-3;-2.272318583E-3
1.833333333E-3;-2.236862667E-3
1.854166667E-3;-2.256337088E-3
1.875000000E-3;-2.334215678E-3
1.895833333E-3;-2.608987503E-3
1.916666667E-3;-2.723561367E-3
1.937500000E-3;-2.591943601E-3
1.958333333E-3;-2.651761053E-3
1.979166667E-3;-3.032267792E-3
2.000000000E-3;-3.200995270E-3
2.020833333E-3;-3.297920572E-3
2.041666667E-3;-3.546292428E-3
2.062500000E-3;-3.641207935E-3
2.083333333E-3;-3.505134955E-3
2.104166667E-3;-3.399032168E-3
2.125000000E-3;-3.631521016E-3
2.145833333E-3;-3.615265246E-3
2.166666667E-3;-3.338417504E-3
2.187500000E-3;-3.152753692E-3
2.208333333E-3;-2.712160582E-3
2.229166667E-3;-2.283398993E-3
2.250000000E-3;-1.878686016E-3
2.270833333E-3;-1.297703944E-3
2.291666667E-3;-9.399281698E-4
2.312500000E-3;-8.437930373E-4
2.333333333E-3;-3.175752936E-4
2.354166667E-3;2.803444513E-4
2.375000000E-3;2.328393166E-4
2.395833333E-3;1.922027295E-4
2.416666667E-3;2.424398990E-4
2.437500000E-3;2.820090158E-4
2.458333333E-3;5.281566991E-4
2.479166667E-3;8.059891989E-4
2.500000000E-3;7.517725462E-4
2.520833333E-3;1.737579587E-4
2.541666667E-3;-1.631080231E-4
2.562500000E-3;-1.652151877E-5
2.583333333E-3;-2.380751976E-4
2.604166667E-3;-8.077933453E-4
2.625000000E-3;-8.219424635E-4
2.645833333E-3;-6.471413071E-4
2.666666667E-3;-7.764140028E-4
2.687500000E-3;-7.453753497E-4
2.708333333E-3;-7.305494510E-4
2.729166667E-3;-7.630090113E-4
2.750000000E-3;-8.226624923E-4
2.770833333E-3;-8.829185390E-4
2.791666667E-3;-8.691735566E-4
2.812500000E-3;-7.676710957E-4
2.833333333E-3;-7.328176871E-4
2.854166667E-3;-1.029593754E-3
2.875000000E-3;-8.355706814E-4
2.895833333E-3;-3.933103872E-4
2.916666667E-3;-4.520726507E-4
2.937500000E-3;-7.428011158E-4
2.958333333E-3;-8.185033803E-4
2.979166667E-3;-7.360776654E-4
3.000000000E-3;-8.656179416E-4
3.020833333E-3;-7.932950975E-4
3.041666667E-3;-6.033215905E-4
3.062500000E-3;-5.654743291E-4
