"Frequency (Hz)";"Absolute Amplitude (a.u.)"
2.343750000E1;3.476719143E-1
4.687500000E1;5.164524564E-1
7.031250000E1;1.825155433E-1
9.375000000E1;1.187676423E0
1.171875000E2;4.592203759E-1
1.406250000E2;2.680838974E-1
1.640625000E2;3.388728545E-1
1.875000000E2;1.608774344E-1
2.109375000E2;1.078333803E-1
2.343750000E2;3.425889387E-1
2.578125000E2;1.013081954E0
2.812500000E2;8.825831583E-1
3.046875000E2;3.180933868E-1
3.281250000E2;3.602576710E-1
3.515625000E2;3.508832324E-1
3.750000000E2;1.388196472E-1
3.984375000E2;1.635663711E-1
4.218750000E2;5.977924083E-2
4.453125000E2;1.643371794E-2
4.687500000E2;8.277679176E-2
4.921875000E2;2.756790714E-1
5.156250000E2;2.477102346E-1
5.390625000E2;2.388073514E-1
5.625000000E2;1.988986093E-1
5.859375000E2;2.875928567E-1
6.093750000E2;4.515882382E-1
6.328125000E2;9.176897539E-2
6.562500000E2;4.792504920E-1
6.796875000E2;1.471946287E-1
7.031250000E2;1.329201667E-1
7.265625000E2;1.357989505E-1
7.500000000E2;1.479939600E-1
7.734375000E2;9.015581104E-2
7.968750000E2;4.167983556E-2
8.203125000E2;4.239105694E-2
8.437500000E2;5.879722012E-2
8.671875000E2;4.068309064E-2
8.906250000E2;3.240723658E-2
9.140625000E2;7.576128672E-2
9.375000000E2;1.087190969E-1
9.609375000E2;1.299754913E-1
9.843750000E2;9.579486017E-2
1.007812500E3;1.054776580E-1
1.031250000E3;6.912514311E-2
1.054687500E3;6.387486766E-2
1.078125000E3;4.312891651E-2
1.101562500E3;3.855247816E-2
1.125000000E3;2.974407333E-2
1.148437500E3;3.557370835E-3
1.171875000E3;4.793933896E-2
1.195312500E3;7.155254786E-2
1.218750000E3;9.372237878E-2
1.242187500E3;4.718866369E-2
1.265625000E3;3.452401804E-2
1.289062500E3;4.324284495E-2
1.312500000E3;2.921245347E-2
1.335937500E3;4.559301708E-2
1.359375000E3;3.286123829E-2
1.382812500E3;6.399734269E-2
1.406250000E3;4.332901872E-3
1.429687500E3;9.398962842E-2
1.453125000E3;5.369658125E-2
1.476562500E3;1.406518551E-1
1.500000000E3;6.901112265E-2
1.523437500E3;7.189819306E-2
1.546875000E3;7.997801827E-2
1.570312500E3;1.958755615E-2
1.593750000E3;3.447561357E-2
1.617187500E3;1.869084500E-2
1.640625000E3;1.556555628E-2
1.664062500E3;2.170886538E-2
1.687500000E3;4.384074318E-3
1.710937500E3;2.093146809E-2
1.734375000E3;2.869773985E-2
1.757812500E3;3.702691164E-2
1.781250000E3;5.879079817E-2
1.804687500E3;5.041096270E-2
1.828125000E3;9.786520204E-2
1.851562500E3;5.668888855E-2
1.875000000E3;6.092779299E-2
1.898437500E3;4.162060674E-3
1.921875000E3;3.876160149E-2
1.945312500E3;5.872848356E-2
1.968750000E3;3.440319737E-2
1.992187500E3;3.102156816E-2
2.015625000E3;4.674975982E-3
2.039062500E3;4.281478677E-2
2.062500000E3;2.352509470E-2
2.085937500E3;2.550715048E-2
2.109375000E3;5.348505881E-3
2.132812500E3;2.500057889E-2
2.156250000E3;2.932812254E-2
2.179687500E3;1.424782232E-2
