"Time (s)";"Peak-Frequency"
7.133333420E-4;4.687500000E1
4.338000001E-2;1.171875000E2
8.604666668E-2;2.343750000E1
1.287133333E-1;1.171875000E2
1.713800000E-1;7.031250000E1
2.140466667E-1;1.171875000E2
2.567133333E-1;4.687500000E1
2.993800000E-1;1.171875000E2
3.420466667E-1;1.171875000E2
3.847133333E-1;1.875000000E2
4.273800000E-1;1.406250000E2
4.700466667E-1;1.171875000E2
5.127133333E-1;4.687500000E1
5.553800000E-1;1.171875000E2
5.980466667E-1;4.687500000E1
6.407133333E-1;4.687500000E1
6.833800000E-1;2.343750000E1
7.260466667E-1;4.687500000E1
7.687133333E-1;4.687500000E1
8.113800000E-1;4.687500000E1
8.540466667E-1;1.007812500E3
8.967133333E-1;1.007812500E3
9.393800000E-1;1.007812500E3
9.820466667E-1;1.007812500E3
1.024713333E0;1.007812500E3
1.067380000E0;1.007812500E3
1.110046667E0;2.578125000E2
1.152713333E0;1.640625000E2
1.195380000E0;9.375000000E1
1.238046667E0;7.031250000E1
1.280713333E0;1.289062500E3
1.323380000E0;1.312500000E3
1.366046667E0;3.281250000E2
1.408713333E0;7.031250000E1
1.451380000E0;1.875000000E2
1.494046667E0;1.875000000E2
1.536713333E0;3.281250000E2
1.579380000E0;1.640625000E2
1.622046667E0;7.031250000E1
1.664713333E0;7.031250000E1
1.707380000E0;1.171875000E2
1.750046667E0;2.343750000E2
1.792713333E0;1.640625000E2
1.835380000E0;1.171875000E2
1.878046667E0;7.031250000E1
1.920713333E0;9.375000000E1
1.963380000E0;1.171875000E2
2.006046667E0;1.875000000E2
2.048713333E0;1.171875000E2
2.091380000E0;9.375000000E1
2.134046667E0;7.031250000E1
2.176713333E0;1.875000000E2
2.219380000E0;1.875000000E2
2.262046667E0;1.875000000E2
2.304713333E0;9.375000000E1
2.347380000E0;1.875000000E2
2.390046667E0;1.640625000E2
2.432713333E0;1.640625000E2
2.475380000E0;1.640625000E2
2.518046667E0;2.578125000E2
2.560713333E0;9.375000000E1
2.603380000E0;6.562500000E2
2.646046667E0;7.031250000E1
2.688713333E0;7.031250000E1
2.731380000E0;1.007812500E3
2.774046667E0;9.375000000E1
2.816713333E0;2.109375000E2
2.859380000E0;1.875000000E2
2.902046667E0;9.375000000E1
2.944713333E0;7.031250000E1
2.987380000E0;2.109375000E2
3.030046667E0;9.375000000E1
3.072713333E0;2.812500000E2
3.115380000E0;2.812500000E2
3.158046667E0;2.812500000E2
3.200713333E0;9.375000000E1
3.243380000E0;2.812500000E2
3.286046667E0;9.375000000E1
3.328713333E0;9.375000000E1
3.371380000E0;9.375000000E1
3.414046667E0;9.375000000E1
3.456713333E0;9.375000000E1
3.499380000E0;1.875000000E2
3.542046667E0;9.375000000E1
3.584713333E0;1.875000000E2
3.627380000E0;2.109375000E2
3.670046667E0;9.375000000E1
3.712713333E0;1.875000000E2
3.755380000E0;1.875000000E2
3.798046667E0;9.375000000E1
3.840713333E0;9.375000000E1
3.883380000E0;9.375000000E1
3.926046667E0;9.375000000E1
3.968713333E0;9.375000000E1
4.011380000E0;1.875000000E2
4.054046667E0;1.875000000E2
4.096713333E0;1.875000000E2
4.139380000E0;1.875000000E2
4.182046667E0;9.375000000E1
4.224713333E0;9.375000000E1
4.267380000E0;1.875000000E2
4.310046667E0;1.875000000E2
4.352713333E0;1.875000000E2
4.395380000E0;1.875000000E2
4.438046667E0;1.875000000E2
4.480713333E0;1.875000000E2
4.523380000E0;1.875000000E2
4.566046667E0;1.875000000E2
4.608713333E0;1.171875000E2
4.651380000E0;7.031250000E1
4.694046667E0;7.031250000E1
4.736713333E0;1.875000000E2
4.779380000E0;1.875000000E2
4.822046667E0;1.875000000E2
4.864713333E0;1.875000000E2
4.907380000E0;1.875000000E2
4.950046667E0;1.875000000E2
4.992713333E0;3.281250000E2
5.035380000E0;1.312500000E3
5.078046667E0;1.875000000E2
