"Time (s)";"Recording (a.u.)"
0.000000000E0;-2.406470710E-3
2.083333333E-5;-1.280872268E-3
4.166666667E-5;-1.293564419E-4
6.250000000E-5;-4.100796650E-4
8.333333333E-5;-1.966883196E-3
1.041666667E-4;-1.572648878E-3
1.250000000E-4;4.313517129E-4
1.458333333E-4;4.837592714E-4
1.666666667E-4;-1.211080817E-3
1.875000000E-4;-1.778505393E-3
2.083333333E-4;-8.809995488E-4
2.291666667E-4;-1.097036176E-3
2.500000000E-4;-1.907716738E-3
2.708333333E-4;-2.017004183E-3
2.916666667E-4;-2.012342215E-3
3.125000000E-4;-1.289064414E-3
3.333333333E-4;-9.588068933E-4
3.541666667E-4;-1.508553163E-3
3.750000000E-4;-1.337577938E-3
3.958333333E-4;-7.643095450E-4
4.166666667E-4;-1.041227020E-3
4.375000000E-4;-2.410097513E-3
4.583333333E-4;-3.454097314E-3
4.791666667E-4;-2.478097798E-3
5.000000000E-4;-3.053519758E-4
5.208333333E-4;-9.161001653E-4
5.416666667E-4;-3.827552544E-3
5.625000000E-4;-2.618968254E-3
5.833333333E-4;1.427214942E-3
6.041666667E-4;5.586518673E-4
6.250000000E-4;-3.808474867E-3
6.458333333E-4;-3.265657695E-3
6.666666667E-4;3.847332846E-4
6.875000000E-4;-8.226542850E-4
7.083333333E-4;-3.669280792E-3
7.291666667E-4;-2.800390590E-3
7.500000000E-4;-6.633361336E-4
7.708333333E-4;3.712770704E-4
7.916666667E-4;-5.828478606E-4
8.125000000E-4;-2.864105394E-3
8.333333333E-4;-2.900415799E-3
8.541666667E-4;-1.186968511E-4
8.750000000E-4;6.967614754E-4
8.958333333E-4;-2.039071871E-3
9.166666667E-4;-2.823028248E-3
9.375000000E-4;-1.209912589E-4
9.583333333E-4;5.009641754E-4
9.791666667E-4;-1.726631890E-3
1.000000000E-3;-2.204406541E-3
1.020833333E-3;-2.932712378E-4
1.041666667E-3;3.702971153E-4
1.062500000E-3;-1.640274655E-3
1.083333333E-3;-2.970224479E-3
1.104166667E-3;-1.530721551E-3
1.125000000E-3;6.517286238E-5
1.145833333E-3;-4.912922741E-4
1.166666667E-3;-1.966315322E-3
1.187500000E-3;-1.987452386E-3
1.208333333E-3;-6.864247262E-4
1.229166667E-3;4.166888830E-4
1.250000000E-3;5.203104229E-4
1.270833333E-3;-9.111317922E-4
1.291666667E-3;-2.249678131E-3
1.312500000E-3;-1.071806881E-3
1.333333333E-3;7.615369977E-4
1.354166667E-3;-2.670229005E-4
1.375000000E-3;-2.253089333E-3
1.395833333E-3;-1.408492913E-3
1.416666667E-3;6.509056402E-5
1.437500000E-3;-5.941252457E-4
1.458333333E-3;-1.065557939E-3
1.479166667E-3;-4.286006733E-4
1.500000000E-3;-6.119677564E-4
1.520833333E-3;-1.129539683E-3
1.541666667E-3;-1.062552095E-3
1.562500000E-3;-1.028968021E-3
1.583333333E-3;-6.187785184E-4
1.604166667E-3;8.661202446E-5
1.625000000E-3;-5.754563608E-4
1.645833333E-3;-1.841046615E-3
1.666666667E-3;-1.014618203E-3
1.687500000E-3;6.297507789E-4
1.708333333E-3;-2.109087363E-4
1.729166667E-3;-2.387831220E-3
1.750000000E-3;-2.555519808E-3
1.770833333E-3;-8.903058479E-4
1.791666667E-3;-3.098188026E-4
1.812500000E-3;-1.763713080E-3
1.833333333E-3;-2.719470300E-3
1.854166667E-3;-1.110867015E-3
1.875000000E-3;7.787804352E-4
1.895833333E-3;-3.694258048E-4
1.916666667E-3;-2.902243985E-3
1.937500000E-3;-2.561713336E-3
1.958333333E-3;-1.351789979E-4
1.979166667E-3;-1.167659793E-4
2.000000000E-3;-2.682996215E-3
2.020833333E-3;-3.287888132E-3
2.041666667E-3;-9.988971287E-4
2.062500000E-3;1.779023660E-5
2.083333333E-3;-9.635988972E-4
2.104166667E-3;-1.711040037E-3
2.125000000E-3;-1.343837939E-3
2.145833333E-3;1.762357424E-4
2.166666667E-3;1.406426463E-6
2.187500000E-3;-2.960970160E-3
2.208333333E-3;-3.695416031E-3
2.229166667E-3;-5.154167884E-4
2.250000000E-3;3.401308786E-4
2.270833333E-3;-2.959234873E-3
2.291666667E-3;-3.648258979E-3
2.312500000E-3;-3.711526806E-4
2.333333333E-3;9.936221177E-4
2.354166667E-3;-9.022523882E-4
2.375000000E-3;-2.712111920E-3
2.395833333E-3;-2.164422767E-3
2.416666667E-3;6.041004672E-4
2.437500000E-3;1.260058489E-3
2.458333333E-3;-2.708070911E-3
2.479166667E-3;-4.089558497E-3
2.500000000E-3;-2.064565197E-4
2.520833333E-3;5.399915390E-4
2.541666667E-3;-2.955694916E-3
2.562500000E-3;-3.781410400E-3
2.583333333E-3;-1.305025187E-3
2.604166667E-3;8.405435074E-5
2.625000000E-3;-3.239736543E-4
2.645833333E-3;-2.017768566E-3
2.666666667E-3;-3.467059927E-3
2.687500000E-3;-1.213266165E-3
2.708333333E-3;5.871276953E-4
2.729166667E-3;-1.774495933E-3
2.750000000E-3;-3.143829061E-3
2.770833333E-3;-1.166523783E-3
2.791666667E-3;3.343543794E-4
2.812500000E-3;-6.943264161E-4
2.833333333E-3;-1.800420810E-3
2.854166667E-3;-2.003303496E-3
2.875000000E-3;-9.897251148E-4
2.895833333E-3;6.764535792E-4
2.916666667E-3;-8.186345804E-4
2.937500000E-3;-3.371576313E-3
2.958333333E-3;-1.798911602E-3
